post_id,year,tier,is_outlier,score,percentile
814,2015,high,0,28.0,0.8797
423,2015,high,0,29.0,0.8814
480,2015,high,0,29.0,0.8832
517,2015,high,0,29.0,0.8849
526,2015,high,0,29.0,0.8866
631,2015,high,0,29.0,0.8883
651,2015,high,0,29.0,0.89
292,2015,high,0,30.0,0.8918
540,2015,high,0,30.0,0.8935
168,2015,high,0,32.0,0.8952
643,2015,high,0,32.0,0.8969
745,2015,high,0,33.0,0.8986
229,2015,high,0,34.0,0.9003
303,2015,high,0,34.0,0.9021
461,2015,high,0,34.0,0.9038
53,2015,high,0,35.0,0.9055
328,2015,high,0,35.0,0.9072
844,2015,high,0,35.0,0.9089
209,2015,high,0,36.0,0.9107
703,2015,high,0,36.0,0.9124
378,2015,high,0,37.0,0.9141
591,2015,high,0,37.0,0.9158
632,2015,high,0,37.0,0.9175
684,2015,high,0,37.0,0.9192
321,2015,high,0,38.0,0.921
429,2015,high,0,38.0,0.9227
468,2015,high,0,38.0,0.9244
729,2015,high,0,38.0,0.9261
235,2015,high,0,40.0,0.9278
278,2015,high,0,40.0,0.9296
411,2015,high,0,40.0,0.9313
608,2015,high,0,40.0,0.933
831,2015,high,0,40.0,0.9347
446,2015,high,0,41.0,0.9364
325,2015,high,0,43.0,0.9381
443,2015,high,0,43.0,0.9399
268,2015,high,0,44.0,0.9416
330,2015,high,0,44.0,0.9433
760,2015,high,0,44.0,0.945
287,2015,high,0,45.0,0.9467
457,2015,high,0,45.0,0.9485
394,2015,viral,1,46.0,0.9502
262,2015,viral,1,47.0,0.9519
371,2015,viral,1,47.0,0.9536
565,2015,viral,1,47.0,0.9553
641,2015,viral,1,47.0,0.957
272,2015,viral,1,48.0,0.9588
654,2015,viral,1,51.0,0.9605
711,2015,viral,1,51.0,0.9622
317,2015,viral,1,52.0,0.9639
685,2015,viral,1,52.0,0.9656
738,2015,viral,1,52.0,0.9674
794,2015,viral,1,52.0,0.9691
369,2015,viral,1,54.0,0.9708
414,2015,viral,1,54.0,0.9725
617,2015,viral,1,55.0,0.9742
647,2015,viral,1,63.0,0.9759
553,2015,viral,1,65.0,0.9777
739,2015,viral,1,72.0,0.9794
265,2015,viral,1,74.0,0.9811
228,2015,viral,1,76.0,0.9828
752,2015,viral,1,79.0,0.9845
322,2015,viral,1,89.0,0.9863
671,2015,viral,1,90.0,0.988
757,2015,viral,1,92.0,0.9897
449,2015,viral,1,98.0,0.9914
283,2015,viral,1,99.0,0.9931
246,2015,viral,1,105.0,0.9948
536,2015,viral,1,107.0,0.9966
366,2015,viral,1,118.0,0.9983
175,2015,viral,1,280.0,1.0
900,2016,low,0,0.0,0.0016
964,2016,low,0,0.0,0.0033
969,2016,low,0,0.0,0.0049
984,2016,low,0,0.0,0.0065
1011,2016,low,0,0.0,0.0082
1056,2016,low,0,0.0,0.0098
1061,2016,low,0,0.0,0.0114
1069,2016,low,0,0.0,0.0131
1070,2016,low,0,0.0,0.0147
1116,2016,low,0,0.0,0.0163
1160,2016,low,0,0.0,0.0179
1183,2016,low,0,0.0,0.0196
1201,2016,low,0,0.0,0.0212
1216,2016,low,0,0.0,0.0228
1232,2016,low,0,0.0,0.0245
1238,2016,low,0,0.0,0.0261
1258,2016,low,0,0.0,0.0277
1267,2016,low,0,0.0,0.0294
1282,2016,low,0,0.0,0.031
1296,2016,low,0,0.0,0.0326
1318,2016,low,0,0.0,0.0343
1354,2016,low,0,0.0,0.0359
1377,2016,low,0,0.0,0.0375
1379,2016,low,0,0.0,0.0392
1385,2016,low,0,0.0,0.0408
1437,2016,low,0,0.0,0.0424
1495,2016,low,0,0.0,0.044
1500,2016,low,0,0.0,0.0457
1543,2016,low,0,0.0,0.0473
1551,2016,low,0,0.0,0.0489
1554,2016,low,0,0.0,0.0506
1582,2016,low,0,0.0,0.0522
1600,2016,low,0,0.0,0.0538
1613,2016,low,0,0.0,0.0555
1684,2016,low,0,0.0,0.0571
1701,2016,low,0,0.0,0.0587
1739,2016,low,0,0.0,0.0604
1757,2016,low,0,0.0,0.062
1847,2016,low,0,0.0,0.0636
1852,2016,low,0,0.0,0.0653
887,2016,low,0,1.0,0.0669
889,2016,low,0,1.0,0.0685
895,2016,low,0,1.0,0.0701
913,2016,low,0,1.0,0.0718
914,2016,low,0,1.0,0.0734
925,2016,low,0,1.0,0.075
961,2016,low,0,1.0,0.0767
973,2016,low,0,1.0,0.0783
993,2016,low,0,1.0,0.0799
1003,2016,low,0,1.0,0.0816
1009,2016,low,0,1.0,0.0832
1033,2016,low,0,1.0,0.0848
1046,2016,low,0,1.0,0.0865
1058,2016,low,0,1.0,0.0881
1083,2016,low,0,1.0,0.0897
1101,2016,low,0,1.0,0.0914
1110,2016,low,0,1.0,0.093
1119,2016,low,0,1.0,0.0946
1130,2016,low,0,1.0,0.0962
1166,2016,low,0,1.0,0.0979
1167,2016,low,0,1.0,0.0995
1168,2016,low,0,1.0,0.1011
1182,2016,low,0,1.0,0.1028
1186,2016,low,0,1.0,0.1044
1199,2016,low,0,1.0,0.106
1213,2016,low,0,1.0,0.1077
1233,2016,low,0,1.0,0.1093
1234,2016,low,0,1.0,0.1109
1235,2016,low,0,1.0,0.1126
1250,2016,low,0,1.0,0.1142
1251,2016,low,0,1.0,0.1158
1255,2016,low,0,1.0,0.1175
1256,2016,low,0,1.0,0.1191
1270,2016,low,0,1.0,0.1207
1319,2016,low,0,1.0,0.1223
1329,2016,low,0,1.0,0.124
1344,2016,low,0,1.0,0.1256
1367,2016,low,0,1.0,0.1272
1387,2016,low,0,1.0,0.1289
1398,2016,low,0,1.0,0.1305
