person_id,display_name,n_talks,years,series,raw_affils,source_url
PERS_07adc1e6,Лейтан Эдгар Зигфридович,1,2023,Zograf Readings / Зографские чтения,Вена,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=14847&option=com_content&task=view
PERS_47ad46f1,М. А. Родионов,1,2011,Zograf Readings / Зографские чтения,Санкт-Петербург,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=2846&option=com_content&task=view
PERS_96b8b195,М. Н. Боголюбов,1,2006,Zograf Readings / Зографские чтения,СПб,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=1251&option=com_content&task=view
PERS_b024f2dd,М. Н. Русанов,1,2006,Zograf Readings / Зографские чтения,Москва,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=1251&option=com_content&task=view
PERS_a901d460,М. А. Фаградян,1,2019,Zograf Readings / Зографские чтения,Санкт-Петербург,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=10154&option=com_content&task=view
PERS_34c0d384,М. Б. Павлова,1,2014,Zograf Readings / Зографские чтения,Москва,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=3663&option=com_content&task=view
PERS_00c3b0cc,М.Б. Щербак,1,2022,Zograf Readings / Зографские чтения,СПб,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=14629&option=com_content&task=view
PERS_05707a8e,М.Б.Загорулько,1,2004,Zograf Readings / Зографские чтения,Москва,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=80&option=com_content&task=view
PERS_68e9019d,Малютин Иван Иванович,1,2023,Zograf Readings / Зографские чтения,Санкт-Петербург,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=14847&option=com_content&task=view
PERS_ce100d3f,Мария Шилинскене,1,2014,Zograf Readings / Зографские чтения,Тампере,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=3663&option=com_content&task=view
PERS_7d6f456c,Мотылёва Вера Леонидовна,1,2026,Zograf Readings / Зографские чтения,Москва,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=15292&option=com_content&task=view
PERS_cac87738,Н. В. Гузеватая,1,2019,Zograf Readings / Зографские чтения,Санкт-Петербург,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=10154&option=com_content&task=view
PERS_26ce5ec1,Нина Будзишевска,1,2014,Zograf Readings / Зографские чтения,Вроцлав,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=3663&option=com_content&task=view
PERS_2e00cb36,О. Н. Меренкова,1,2018,Zograf Readings / Зографские чтения,СПб,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=7591&option=com_content&task=view
PERS_37bb2d43,Покатилов Сергей Андреевич,1,2025,Zograf Readings / Зографские чтения,СПб.,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=15177&option=com_content&task=view
