presentation_id,year,period,series,calendar_date,weekday,l1,l2,title,tokens,unique_tokens,bigrams,theme_match
PRES_75e95131c2,2020,2018-2022,Roerich Readings,2020-12-15,Tuesday,linguistics,classical,Санскритская грамматика и мирская мудрость,санскрит|грамматика|мирской|мудрость,грамматика|мирской|мудрость|санскрит,санскрит грамматика|грамматика мирской|мирской мудрость,True
PRES_838219a1ee,2020,2018-2022,Roerich Readings,2020-12-14,Monday,literature,classical,Способы изображения животных в литературной санскритской джатаке,способ|изображение|животное|литература|санскрит|джатака,джатака|животное|изображение|литература|санскрит|способ,способ изображение|изображение животное|животное литература|литература санскрит|санскрит джатака,True
PRES_8c8a78a7c6,2020,2018-2022,Roerich Readings,2020-12-16,Wednesday,linguistics,unspecified,Модели мотивации понятий «муж» и «жена» в дравидийских языках,модель|мотивация|понятие|муж|жена|дравидология|язык,дравидология|жена|модель|мотивация|муж|понятие|язык,модель мотивация|мотивация понятие|понятие муж|муж жена|жена дравидология|дравидология язык,True
PRES_977099cdb8,2020,2018-2022,Roerich Readings,2020-12-14,Monday,linguistics,unspecified,"Происхождение китайского иероглифа 佛 «фо» (Будда, буддизм)",происхождение|китайский|иероглиф|будда|буддизм,будда|буддизм|иероглиф|китайский|происхождение,происхождение китайский|китайский иероглиф|иероглиф будда|будда буддизм,True
PRES_a939d396b8,2020,2018-2022,Roerich Readings,2020-12-14,Monday,art_archaeology,unspecified,Некоторые тангка из собрания Ю.Н. Рериха. Новые исследования,тангка|собрание|юрий_рерих|новый,новый|собрание|тангка|юрий_рерих,тангка собрание|собрание юрий_рерих|юрий_рерих новый,True
PRES_a95408ba26,2020,2018-2022,Roerich Readings,2020-12-16,Wednesday,literature,classical,Феномен речевого сбоя как средство художественной выразительности в структуре классической санскритской драмы,речевой|сбой|средство|художественный|выразительность|классический|санскрит|драма,выразительность|драма|классический|речевой|санскрит|сбой|средство|художественный,речевой сбой|сбой средство|средство художественный|художественный выразительность|выразительность классический|классический санскрит|санскрит драма,True
PRES_bdc2b8783d,2020,2018-2022,Roerich Readings,2020-12-16,Wednesday,philosophy,modern,Санскрит и индийская философия в творчестве композитора А.Н. Скрябина,санскрит|индия|философия|творчество|композитор|скрябин,индия|композитор|санскрит|скрябин|творчество|философия,санскрит индия|индия философия|философия творчество|творчество композитор|композитор скрябин,True
PRES_c0d93ccddb,2020,2018-2022,Roerich Readings,2020-12-15,Tuesday,history,unspecified,Ю.Н. Рерих о кочевниках Тибета,юрий_рерих|кочевник|тибет,кочевник|тибет|юрий_рерих,юрий_рерих кочевник|кочевник тибет,True
PRES_c29a39d88c,2020,2018-2022,Roerich Readings,2020-12-14,Monday,religion,unspecified,Кангдзей: «Подношения гневным божеcтвам»,кангдзь|подношение|гневный|бог|тво,бог|гневный|кангдзь|подношение|тво,кангдзь подношение|подношение гневный|гневный бог|бог тво,True
PRES_c70b31e5b3,2020,2018-2022,Roerich Readings,2020-12-16,Wednesday,religion,medieval,Роль «Тируттондар тирувандади» Намби Андар Намби в формировании шиваитского канона,тируттондар|тирувандасть|намбить|андар|намбить|формирование|шиваитский|канон,андар|канон|намбить|тирувандасть|тируттондар|формирование|шиваитский,тируттондар тирувандасть|тирувандасть намбить|намбить андар|андар намбить|намбить формирование|формирование шиваитский|шиваитский канон,True
PRES_d0e5bdbfaa,2020,2018-2022,Roerich Readings,2020-12-14,Monday,history,medieval,Отражение монгольских имперских идей в тибетской историографии. LX РЕРИХОВСКИЕ ЧТЕНИЯ,отражение|монгольский|имперский|идея|тибет|историография|рериховский|чтение,идея|имперский|историография|монгольский|отражение|рериховский|тибет|чтение,отражение монгольский|монгольский имперский|имперский идея|идея тибет|тибет историография|историография рериховский|рериховский чтение,True
PRES_d84550d538,2020,2018-2022,Roerich Readings,2020-12-14,Monday,religion,classical,Ṛddhi и священные следы прошлого: чудо в картине мира буддиста-паломника,священный|след|прошлое|чудо|картина|мир|буддист-паломник,буддист-паломник|картина|мир|прошлое|священный|след|чудо,священный след|след прошлое|прошлое чудо|чудо картина|картина мир|мир буддист-паломник,True
PRES_fac07beb0f,2020,2018-2022,Roerich Readings,2020-12-15,Tuesday,history,classical,"Загадка эдуки – монумента опрокинутого мира (эпиграфика, эпос, пураны)",загадка|эдук|монумент|опрокинуть|мир|эпиграфика|эпос|пураны,загадка|мир|монумент|опрокинуть|пураны|эдук|эпиграфика|эпос,загадка эдук|эдук монумент|монумент опрокинуть|опрокинуть мир|мир эпиграфика|эпиграфика эпос|эпос пураны,True
PRES_ffd2c4b14a,2020,2018-2022,Roerich Readings,2020-12-14,Monday,art_archaeology,unspecified,Две тханки из собрания И.П. Минаева (МАЭ РАН) и традиция странствующих рассказчиков (лама манипа) в Гималайском регионе,два|тханк|собрание|минаев|маэ_ран|традиция|странствовать|рассказчик|лама|манип|гималайский|регион,гималайский|два|лама|манип|маэ_ран|минаев|рассказчик|регион|собрание|странствовать|традиция|тханк,два тханк|тханк собрание|собрание минаев|минаев маэ_ран|маэ_ран традиция|традиция странствовать|странствовать рассказчик|рассказчик лама|лама манип|манип гималайский|гималайский регион,True
PRES_074b8a684c,2020,2018-2022,Zograf Readings,2020-05-13,Wednesday,philosophy,classical,Буддизм пудгалавады: к постановке вопроса о субъекте-пудгале,буддизм|пудгалавад|постановка|субъект-пудгала,буддизм|постановка|пудгалавад|субъект-пудгала,буддизм пудгалавад|пудгалавад постановка|постановка субъект-пудгала,True
PRES_0805f65a3c,2020,2018-2022,Zograf Readings,2020-05-14,Thursday,linguistics,modern,Дискурсивные слова в языке хинди,дискурсивный|слово|язык|хинди,дискурсивный|слово|хинди|язык,дискурсивный слово|слово язык|язык хинди,True
PRES_200e0161a7,2020,2018-2022,Zograf Readings,2020-05-13,Wednesday,philosophy,classical,Трактовка состояний удрученности и умопомешательства в буддийских экзегетических источниках,трактовка|состояние|удрученность|умопомешательство|буддизм|экзегетический|источник,буддизм|источник|состояние|трактовка|удрученность|умопомешательство|экзегетический,трактовка состояние|состояние удрученность|удрученность умопомешательство|умопомешательство буддизм|буддизм экзегетический|экзегетический источник,True
