term,early_df,late_df,early_title_share_pct,late_title_share_pct,log_odds_late_minus_early,z_score,trend
между,4,3,0.6,0.44,-0.284,-0.399,early
москва,4,3,0.6,0.44,-0.284,-0.399,early
социальный,4,3,0.6,0.44,-0.284,-0.399,early
способ,4,3,0.6,0.44,-0.284,-0.399,early
текстовый,4,3,0.6,0.44,-0.284,-0.399,early
упанишад,4,3,0.6,0.44,-0.284,-0.399,early
формула,4,3,0.6,0.44,-0.284,-0.399,early
часть,4,3,0.6,0.44,-0.284,-0.399,early
эволюция,4,3,0.6,0.44,-0.284,-0.399,early
исток,8,10,1.2,1.46,0.1828,0.396,late
культ,8,10,1.2,1.46,0.1828,0.396,late
ритуальный,8,10,1.2,1.46,0.1828,0.396,late
влияние,2,3,0.3,0.44,0.3068,0.37,late
глаз,2,3,0.3,0.44,0.3068,0.37,late
живопись,2,3,0.3,0.44,0.3068,0.37,late
натарадж,2,3,0.3,0.44,0.3068,0.37,late
оберхаммер,2,3,0.3,0.44,0.3068,0.37,late
освобождение,2,3,0.3,0.44,0.3068,0.37,late
поздний,2,3,0.3,0.44,0.3068,0.37,late
раманудж,2,3,0.3,0.44,0.3068,0.37,late
строфа,2,3,0.3,0.44,0.3068,0.37,late
существование,2,3,0.3,0.44,0.3068,0.37,late
схема,2,3,0.3,0.44,0.3068,0.37,late
фрагмент,2,3,0.3,0.44,0.3068,0.37,late
царство,2,3,0.3,0.44,0.3068,0.37,late
шиваитский,2,3,0.3,0.44,0.3068,0.37,late
япония,2,3,0.3,0.44,0.3068,0.37,late
богиня,5,4,0.75,0.58,-0.2334,-0.367,early
композиция,5,4,0.75,0.58,-0.2334,-0.367,early
сознание,5,4,0.75,0.58,-0.2334,-0.367,early
что,5,4,0.75,0.58,-0.2334,-0.367,early
азия,6,5,0.9,0.73,-0.1999,-0.345,early
время,6,5,0.9,0.73,-0.1999,-0.345,early
речь,6,5,0.9,0.73,-0.1999,-0.345,early
книга,7,6,1.05,0.87,-0.176,-0.328,early
рерих,7,6,1.05,0.87,-0.176,-0.328,early
центральный,7,6,1.05,0.87,-0.176,-0.328,early
первый,8,7,1.2,1.02,-0.1581,-0.316,early
бхагавадгита,3,4,0.45,0.58,0.2216,0.311,late
восточный,3,4,0.45,0.58,0.2216,0.311,late
йога,3,4,0.45,0.58,0.2216,0.311,late
категория,3,4,0.45,0.58,0.2216,0.311,late
сравнительный,3,4,0.45,0.58,0.2216,0.311,late
храмовый,3,4,0.45,0.58,0.2216,0.311,late
цикл,3,4,0.45,0.58,0.2216,0.311,late
древний,14,13,2.11,1.9,-0.1047,-0.277,early
ведийский,16,15,2.41,2.19,-0.0958,-0.271,early
бенгалия,4,5,0.6,0.73,0.1709,0.269,late
бхартрихари,4,5,0.6,0.73,0.1709,0.269,late
индоевропейский,4,5,0.6,0.73,0.1709,0.269,late
наука,4,5,0.6,0.73,0.1709,0.269,late
форма,4,5,0.6,0.73,0.1709,0.269,late
южная_индия,4,5,0.6,0.73,0.1709,0.269,late
тамильский,18,17,2.71,2.48,-0.089,-0.267,early
поэтический,5,6,0.75,0.87,0.1372,0.237,late
система,5,6,0.75,0.87,0.1372,0.237,late
бог,6,7,0.9,1.02,0.1132,0.211,late
минаев,6,7,0.9,1.02,0.1132,0.211,late
параллель,6,7,0.9,1.02,0.1132,0.211,late
поэзия,22,24,3.31,3.5,0.0561,0.192,late
семантика,7,8,1.05,1.17,0.0952,0.19,late
рамаяна,9,10,1.35,1.46,0.0701,0.156,late
пали,10,11,1.5,1.6,0.0609,0.143,late
сюжет,13,14,1.95,2.04,0.0413,0.109,late
современный,14,15,2.11,2.19,0.0365,0.1,late
перевод,16,16,2.41,2.33,-0.0318,-0.091,early
культура,13,13,1.95,1.9,-0.0317,-0.082,early
представление,9,9,1.35,1.31,-0.0315,-0.069,early
собрание,9,9,1.35,1.31,-0.0315,-0.069,early
тантра,9,9,1.35,1.31,-0.0315,-0.069,early
трактат,8,8,1.2,1.17,-0.0314,-0.065,early
абхинавагупта,7,7,1.05,1.02,-0.0314,-0.061,early
жизнь,6,6,0.9,0.87,-0.0313,-0.057,early
театр,6,6,0.9,0.87,-0.0313,-0.057,early
знание,5,5,0.75,0.73,-0.0313,-0.052,early
реконструкция,5,5,0.75,0.73,-0.0313,-0.052,early
гимн,4,4,0.6,0.58,-0.0313,-0.047,early
европейский,4,4,0.6,0.58,-0.0313,-0.047,early
натьяшастр,4,4,0.6,0.58,-0.0313,-0.047,early
шанкара,4,4,0.6,0.58,-0.0313,-0.047,early
абхидхарма,3,3,0.45,0.44,-0.0312,-0.041,early
война,3,3,0.45,0.44,-0.0312,-0.041,early
иконографический,3,3,0.45,0.44,-0.0312,-0.041,early
лингвистика,3,3,0.45,0.44,-0.0312,-0.041,early
метафора,3,3,0.45,0.44,-0.0312,-0.041,early
музей,3,3,0.45,0.44,-0.0312,-0.041,early
народ,3,3,0.45,0.44,-0.0312,-0.041,early
передача,3,3,0.45,0.44,-0.0312,-0.041,early
путь,3,3,0.45,0.44,-0.0312,-0.041,early
рождение,3,3,0.45,0.44,-0.0312,-0.041,early
фольклорный,3,3,0.45,0.44,-0.0312,-0.041,early
авалокитешвара,2,2,0.3,0.29,-0.0312,-0.035,early
археология,2,2,0.3,0.29,-0.0312,-0.035,early
атомизм,2,2,0.3,0.29,-0.0312,-0.035,early
варна,2,2,0.3,0.29,-0.0312,-0.035,early
воинский,2,2,0.3,0.29,-0.0312,-0.035,early
герменевтика,2,2,0.3,0.29,-0.0312,-0.035,early
глагольный,2,2,0.3,0.29,-0.0312,-0.035,early
животное,2,2,0.3,0.29,-0.0312,-0.035,early
заимствование,2,2,0.3,0.29,-0.0312,-0.035,early
изобразительный,2,2,0.3,0.29,-0.0312,-0.035,early
инструмент,2,2,0.3,0.29,-0.0312,-0.035,early
кали,2,2,0.3,0.29,-0.0312,-0.035,early
кинематограф,2,2,0.3,0.29,-0.0312,-0.035,early
колониальный,2,2,0.3,0.29,-0.0312,-0.035,early
комплекс,2,2,0.3,0.29,-0.0312,-0.035,early
методология,2,2,0.3,0.29,-0.0312,-0.035,early
обращение,2,2,0.3,0.29,-0.0312,-0.035,early
орисса,2,2,0.3,0.29,-0.0312,-0.035,early
основной,2,2,0.3,0.29,-0.0312,-0.035,early
парс,2,2,0.3,0.29,-0.0312,-0.035,early
природа,2,2,0.3,0.29,-0.0312,-0.035,early
проза,2,2,0.3,0.29,-0.0312,-0.035,early
рельеф,2,2,0.3,0.29,-0.0312,-0.035,early
сказка,2,2,0.3,0.29,-0.0312,-0.035,early
судьба,2,2,0.3,0.29,-0.0312,-0.035,early
художественный,2,2,0.3,0.29,-0.0312,-0.035,early
шастр,2,2,0.3,0.29,-0.0312,-0.035,early
эпистемология,2,2,0.3,0.29,-0.0312,-0.035,early
этнографический,2,2,0.3,0.29,-0.0312,-0.035,early
явление,2,2,0.3,0.29,-0.0312,-0.035,early
