source,target,weight,topics,edge_type
Dominik Wujastyk,rajam,25,Bibliographic requests|Digital resources and tools|General scholarly discussion|Grammar and linguistics|History and culture|List administration|Manuscripts and epigraphy|Veda and ritual,thread_coparticipation
DEVARAKONDA VENKATA NARAYANA SARMA,Sudalaimuthu Palaniappan,25,General scholarly discussion|Veda and ritual,thread_coparticipation
Dominik Wujastyk,Krishnaprasad G,25,Bibliographic requests|Digital resources and tools|General scholarly discussion|Manuscripts and epigraphy,thread_coparticipation
Matthew Kapstein,Patrick Olivelle,25,Bibliographic requests|Digital resources and tools|General scholarly discussion|History and culture|Manuscripts and epigraphy|Teaching and pedagogy|Veda and ritual,thread_coparticipation
S Krishna,Vidyasankar Sundaresan,25,General scholarly discussion|History and culture,thread_coparticipation
Lars Martin Fosse,S Krishna,25,General scholarly discussion|History and culture,thread_coparticipation
Vidyasankar Sundaresan,nanda chandran,25,General scholarly discussion|History and culture,thread_coparticipation
Dominik Wujastyk,Klaus Karttunen,25,Bibliographic requests|General scholarly discussion|List administration|Manuscripts and epigraphy,thread_coparticipation
Dominik Wujastyk,"Hock, Hans Henrich",25,Announcements and events|Bibliographic requests|Buddhism and Jainism|Digital resources and tools|General scholarly discussion|Grammar and linguistics|Texts and philology|Veda and ritual,thread_coparticipation
Christophe Vielle,Nagaraj Paturi,25,Announcements and events|General scholarly discussion|History and culture|Manuscripts and epigraphy|Texts and philology,thread_coparticipation
Krishnaprasad G,Madhav Deshpande,25,Bibliographic requests|Digital resources and tools|General scholarly discussion|Grammar and linguistics|Texts and philology,thread_coparticipation
Bijoy Misra,N. Ganesan,25,General scholarly discussion,thread_coparticipation
Arlo Griffiths,Matthew Kapstein,24,Buddhism and Jainism|General scholarly discussion|History and culture|Manuscripts and epigraphy|Texts and philology,thread_coparticipation
Madhav Deshpande,Walter Slaje,24,General scholarly discussion|Veda and ritual,thread_coparticipation
Dean Michael Anderson,Matthew Kapstein,24,General scholarly discussion|Texts and philology,thread_coparticipation
Dipak Bhattacharya,Jonathan Silk,24,Bibliographic requests|Buddhism and Jainism|Digital resources and tools|General scholarly discussion|History and culture|Manuscripts and epigraphy|Texts and philology,thread_coparticipation
Harry Spier,"Hock, Hans Henrich",24,General scholarly discussion|Grammar and linguistics|Texts and philology,thread_coparticipation
Swaminathan Madhuresan,Vishal Agarwal,24,General scholarly discussion|Veda and ritual,thread_coparticipation
"Lubin, Tim",Matthew Kapstein,24,Buddhism and Jainism|Digital resources and tools|General scholarly discussion|Grammar and linguistics|History and culture|Manuscripts and epigraphy,thread_coparticipation
Nagaraj Paturi,"Tieken, H.J.H.",24,Announcements and events|Bibliographic requests|General scholarly discussion|Grammar and linguistics,thread_coparticipation
Asko Parpola,Madhav Deshpande,24,General scholarly discussion|Grammar and linguistics|History and culture|Manuscripts and epigraphy,thread_coparticipation
Dipak Bhattacharya,mkapstei at UCHICAGO.EDU,24,Buddhism and Jainism|Digital resources and tools|General scholarly discussion|Grammar and linguistics|Texts and philology,thread_coparticipation
N. Ganesan,Samar Abbas,24,General scholarly discussion,thread_coparticipation
David Magier,Dominik Wujastyk,23,Digital resources and tools|General scholarly discussion|Teaching and pedagogy|Texts and philology,thread_coparticipation
Jan E.M. Houben,Nagaraj Paturi,23,Announcements and events|Bibliographic requests|General scholarly discussion|Grammar and linguistics|History and culture|Manuscripts and epigraphy|Texts and philology|Veda and ritual,thread_coparticipation
Madhav Deshpande,Valerie Roebuck,23,Digital resources and tools|General scholarly discussion|Grammar and linguistics,thread_coparticipation
Vidyasankar Sundaresan,Vishal Agarwal,23,General scholarly discussion|Texts and philology|Veda and ritual,thread_coparticipation
Lakshmi Srinivas,Sudalaimuthu Palaniappan,23,Bibliographic requests|General scholarly discussion|History and culture|Texts and philology,thread_coparticipation
Robert Zydenbos,Vidyasankar Sundaresan,23,General scholarly discussion|History and culture,thread_coparticipation
Arlo Griffiths,Jonathan Silk,23,Bibliographic requests|Digital resources and tools|General scholarly discussion|Grammar and linguistics|History and culture|Manuscripts and epigraphy,thread_coparticipation
Arun Gupta,Lars Martin Fosse,23,Digital resources and tools|General scholarly discussion|History and culture,thread_coparticipation
Periannan Chandrasekaran,Swaminathan Madhuresan,23,General scholarly discussion|History and culture,thread_coparticipation
Harry Spier,Jonathan Silk,23,Bibliographic requests|Digital resources and tools|General scholarly discussion|Grammar and linguistics|Manuscripts and epigraphy|Texts and philology,thread_coparticipation
Lars Martin Fosse,Venkatraman Iyer,23,Bibliographic requests|General scholarly discussion|Grammar and linguistics|History and culture,thread_coparticipation
Sudalaimuthu Palaniappan,Venkatraman Iyer,23,General scholarly discussion|History and culture|Texts and philology,thread_coparticipation
Elliot Stern,Harry Spier,23,Bibliographic requests|Digital resources and tools|General scholarly discussion|Grammar and linguistics|Manuscripts and epigraphy,thread_coparticipation
Allen W Thrasher,Valerie J Roebuck,23,Buddhism and Jainism|General scholarly discussion,thread_coparticipation
Robert Zydenbos,Swaminathan Madhuresan,23,General scholarly discussion|History and culture|Texts and philology,thread_coparticipation
Antonia Ruppel,Madhav Deshpande,23,General scholarly discussion|Veda and ritual,thread_coparticipation
Martin Gansten,Nagaraj Paturi,23,General scholarly discussion|History and culture|Veda and ritual,thread_coparticipation
Lars Martin Fosse,Paul Kekai Manansala,22,General scholarly discussion|Veda and ritual,thread_coparticipation
Matthew Kapstein,"Olivelle, J P",22,Buddhism and Jainism|General scholarly discussion|History and culture|Texts and philology,thread_coparticipation
George Thompson,Jan E.M. Houben,22,Bibliographic requests|General scholarly discussion|History and culture|Veda and ritual,thread_coparticipation
Madhav Deshpande,Sudalaimuthu Palaniappan,22,Buddhism and Jainism|General scholarly discussion|History and culture,thread_coparticipation
Madhav Deshpande,Robert Zydenbos,22,Digital resources and tools|General scholarly discussion|Grammar and linguistics|Texts and philology,thread_coparticipation
Dominik Wujastyk,Lubomír Ondračka,22,Bibliographic requests|Buddhism and Jainism|Digital resources and tools|General scholarly discussion|Manuscripts and epigraphy|Texts and philology,thread_coparticipation
Elliot Stern,Matthew Kapstein,22,Bibliographic requests|General scholarly discussion|Grammar and linguistics|Manuscripts and epigraphy|Veda and ritual,thread_coparticipation
Bhadraiah Mallampalli,Vidyasankar Sundaresan,22,Announcements and events|General scholarly discussion|History and culture|List administration,thread_coparticipation
Harry Spier,Lubomír Ondračka,22,Bibliographic requests|Digital resources and tools|General scholarly discussion|Manuscripts and epigraphy|Texts and philology,thread_coparticipation
N. Ganesan,Periannan Chandrasekaran,22,Bibliographic requests|General scholarly discussion,thread_coparticipation
