source,target,weight,topics,edge_type
Camillo Formigatti,mbroo at abo.fi,1,General scholarly discussion,thread_coparticipation
Camillo Formigatti,caren dreyer,1,General scholarly discussion,thread_coparticipation
Camillo Formigatti,Will Sweetman,1,General scholarly discussion,thread_coparticipation
Narayan S. Raja,vidya at cco.caltech.edu,1,General scholarly discussion,thread_coparticipation
Narayan S. Raja,Srinivas Sunder,1,General scholarly discussion,thread_coparticipation
Luis Arnold Gonzalez-Reimann,vidya at cco.caltech.edu,1,General scholarly discussion,thread_coparticipation
Luis Arnold Gonzalez-Reimann,Srinivas Sunder,1,General scholarly discussion,thread_coparticipation
Luis Arnold Gonzalez-Reimann,Narayan S. Raja,1,General scholarly discussion,thread_coparticipation
Kalyans at aol.com,vidya at cco.caltech.edu,1,General scholarly discussion,thread_coparticipation
Kalyans at aol.com,Srinivas Sunder,1,General scholarly discussion,thread_coparticipation
Kalyans at aol.com,Narayan S. Raja,1,General scholarly discussion,thread_coparticipation
Joanna Jurewicz,Oliver Hellwig,1,Veda and ritual,thread_coparticipation
Joanna Jurewicz,Krishnaprasad G,1,Veda and ritual,thread_coparticipation
caren dreyer,mbroo at abo.fi,1,General scholarly discussion,thread_coparticipation
Will Sweetman,mbroo at abo.fi,1,General scholarly discussion,thread_coparticipation
Will Sweetman,caren dreyer,1,General scholarly discussion,thread_coparticipation
Richard Mahoney | Indica et Buddhica,mbroo at abo.fi,1,General scholarly discussion,thread_coparticipation
Richard Mahoney | Indica et Buddhica,caren dreyer,1,General scholarly discussion,thread_coparticipation
Matthew Kapstein,caren dreyer,1,General scholarly discussion,thread_coparticipation
Lubomír Ondračka,mbroo at abo.fi,1,General scholarly discussion,thread_coparticipation
Lubomír Ondračka,caren dreyer,1,General scholarly discussion,thread_coparticipation
Lubomír Ondračka,Will Sweetman,1,General scholarly discussion,thread_coparticipation
Lubomír Ondračka,Richard Mahoney | Indica et Buddhica,1,General scholarly discussion,thread_coparticipation
Krishnaprasad G,mbroo at abo.fi,1,General scholarly discussion,thread_coparticipation
Krishnaprasad G,caren dreyer,1,General scholarly discussion,thread_coparticipation
Krishnaprasad G,Will Sweetman,1,General scholarly discussion,thread_coparticipation
Jonathan Silk,caren dreyer,1,General scholarly discussion,thread_coparticipation
Aleix Ruiz Falqués,"Olivelle, J P",1,General scholarly discussion,thread_coparticipation
Aleix Ruiz Falqués,Michael Brattus Jones,1,General scholarly discussion,thread_coparticipation
Aleix Ruiz Falqués,Matthew Clark,1,General scholarly discussion,thread_coparticipation
Aleix Ruiz Falqués,KORN Agnes,1,General scholarly discussion,thread_coparticipation
Aleix Ruiz Falqués,Jon Skarpeid,1,General scholarly discussion,thread_coparticipation
Aleix Ruiz Falqués,Jason Birch,1,General scholarly discussion,thread_coparticipation
Aleix Ruiz Falqués,Isabelle Ratie,1,General scholarly discussion,thread_coparticipation
Aleix Ruiz Falqués,Herman Tull,1,General scholarly discussion,thread_coparticipation
Aleix Ruiz Falqués,Harry Falk,1,General scholarly discussion,thread_coparticipation
Aleix Ruiz Falqués,Dominik Wujastyk,1,General scholarly discussion,thread_coparticipation
Aleix Ruiz Falqués,DIEGO LOUKOTA SANCLEMENTE,1,General scholarly discussion,thread_coparticipation
Aleix Ruiz Falqués,Camillo Formigatti,1,General scholarly discussion,thread_coparticipation
Aleix Ruiz Falqués,Bradley Clough,1,General scholarly discussion,thread_coparticipation
Aleix Ruiz Falqués,Audrey Truschke,1,General scholarly discussion,thread_coparticipation
Aleix Ruiz Falqués,Arash Zeini,1,General scholarly discussion,thread_coparticipation
Aleix Ruiz Falqués,Aleksandar Uskokov,1,General scholarly discussion,thread_coparticipation
Aleksandar Uskokov,Isabelle Ratie,1,General scholarly discussion,thread_coparticipation
Aleksandar Uskokov,Harry Falk,1,General scholarly discussion,thread_coparticipation
Aleksandar Uskokov,DIEGO LOUKOTA SANCLEMENTE,1,General scholarly discussion,thread_coparticipation
Aleksandar Uskokov,Camillo Formigatti,1,General scholarly discussion,thread_coparticipation
Aleksandar Uskokov,Bradley Clough,1,General scholarly discussion,thread_coparticipation
Aleksandar Uskokov,Birgit Kellner,1,General scholarly discussion,thread_coparticipation
Aleksandar Uskokov,Audrey Truschke,1,General scholarly discussion,thread_coparticipation
Aleksandar Uskokov,Arash Zeini,1,General scholarly discussion,thread_coparticipation
Aleix Ruiz Falqués,tatiana.oranskaia,1,General scholarly discussion,thread_coparticipation
Aleix Ruiz Falqués,farkhondeh iran,1,General scholarly discussion,thread_coparticipation
Aleix Ruiz Falqués,"Uskokov, Aleksandar",1,General scholarly discussion,thread_coparticipation
Aleix Ruiz Falqués,Simon Brodbeck,1,General scholarly discussion,thread_coparticipation
Aleix Ruiz Falqués,Richard Mahoney | Indica et Buddhica,1,General scholarly discussion,thread_coparticipation
Aleix Ruiz Falqués,"Ram-Prasad, Chakravarthi",1,General scholarly discussion,thread_coparticipation
Aleix Ruiz Falqués,Philipp Maas,1,General scholarly discussion,thread_coparticipation
Aleix Ruiz Falqués,Paolo Eugenio Rosati,1,General scholarly discussion,thread_coparticipation
Arash Zeini,Birgit Kellner,1,General scholarly discussion,thread_coparticipation
Arash Zeini,Audrey Truschke,1,General scholarly discussion,thread_coparticipation
Aleksandar Uskokov,farkhondeh iran,1,General scholarly discussion,thread_coparticipation
Aleksandar Uskokov,"Uskokov, Aleksandar",1,General scholarly discussion,thread_coparticipation
Aleksandar Uskokov,Simon Brodbeck,1,General scholarly discussion,thread_coparticipation
Aleksandar Uskokov,Richard Mahoney | Indica et Buddhica,1,General scholarly discussion,thread_coparticipation
Aleksandar Uskokov,"Ram-Prasad, Chakravarthi",1,General scholarly discussion,thread_coparticipation
Aleksandar Uskokov,Patricia Sauthoff,1,General scholarly discussion,thread_coparticipation
Aleksandar Uskokov,Paolo Eugenio Rosati,1,General scholarly discussion,thread_coparticipation
Aleksandar Uskokov,Michael Brattus Jones,1,General scholarly discussion,thread_coparticipation
Aleksandar Uskokov,Matthew Clark,1,General scholarly discussion,thread_coparticipation
Aleksandar Uskokov,Malcolm Keating,1,General scholarly discussion,thread_coparticipation
Aleksandar Uskokov,KORN Agnes,1,General scholarly discussion,thread_coparticipation
Aleksandar Uskokov,Jon Skarpeid,1,General scholarly discussion,thread_coparticipation
Aleksandar Uskokov,Jeffery Long,1,General scholarly discussion,thread_coparticipation
Aleksandar Uskokov,Jason Birch,1,General scholarly discussion,thread_coparticipation
Arash Zeini,Nagaraj Paturi,1,General scholarly discussion,thread_coparticipation
Arash Zeini,Michael Brattus Jones,1,General scholarly discussion,thread_coparticipation
Arash Zeini,Matthew Clark,1,General scholarly discussion,thread_coparticipation
Arash Zeini,Malcolm Keating,1,General scholarly discussion,thread_coparticipation
Arash Zeini,KORN Agnes,1,General scholarly discussion,thread_coparticipation
Arash Zeini,Jonathan Silk,1,General scholarly discussion,thread_coparticipation
Arash Zeini,Jon Skarpeid,1,General scholarly discussion,thread_coparticipation
Arash Zeini,Jeffery Long,1,General scholarly discussion,thread_coparticipation
Arash Zeini,Jason Birch,1,General scholarly discussion,thread_coparticipation
Arash Zeini,Isabelle Ratie,1,General scholarly discussion,thread_coparticipation
Arash Zeini,Herman Tull,1,General scholarly discussion,thread_coparticipation
Arash Zeini,Harry Falk,1,General scholarly discussion,thread_coparticipation
Arash Zeini,DIEGO LOUKOTA SANCLEMENTE,1,General scholarly discussion,thread_coparticipation
Arash Zeini,Christophe Vielle,1,General scholarly discussion,thread_coparticipation
Arash Zeini,Camillo Formigatti,1,General scholarly discussion,thread_coparticipation
Arash Zeini,Bradley Clough,1,General scholarly discussion,thread_coparticipation
Audrey Truschke,Harry Falk,1,General scholarly discussion,thread_coparticipation
Audrey Truschke,DIEGO LOUKOTA SANCLEMENTE,1,General scholarly discussion,thread_coparticipation
Audrey Truschke,Bradley Clough,1,General scholarly discussion,thread_coparticipation
Audrey Truschke,Birgit Kellner,1,General scholarly discussion,thread_coparticipation
Arash Zeini,tatiana.oranskaia,1,General scholarly discussion,thread_coparticipation
Arash Zeini,farkhondeh iran,1,General scholarly discussion,thread_coparticipation
Arash Zeini,"Walser, Joseph",1,General scholarly discussion,thread_coparticipation
Arash Zeini,"Uskokov, Aleksandar",1,General scholarly discussion,thread_coparticipation
Arash Zeini,"Tieken, H.J.H.",1,General scholarly discussion,thread_coparticipation
Arash Zeini,Simon Brodbeck,1,General scholarly discussion,thread_coparticipation
Arash Zeini,Richard Mahoney | Indica et Buddhica,1,General scholarly discussion,thread_coparticipation
Arash Zeini,"Ram-Prasad, Chakravarthi",1,General scholarly discussion,thread_coparticipation
Arash Zeini,Philipp Maas,1,General scholarly discussion,thread_coparticipation
Arash Zeini,Patricia Sauthoff,1,General scholarly discussion,thread_coparticipation
Arash Zeini,Paolo Eugenio Rosati,1,General scholarly discussion,thread_coparticipation
Arash Zeini,"Olivelle, J P",1,General scholarly discussion,thread_coparticipation
Birgit Kellner,Malcolm Keating,1,General scholarly discussion,thread_coparticipation
Birgit Kellner,KORN Agnes,1,General scholarly discussion,thread_coparticipation
Birgit Kellner,Jon Skarpeid,1,General scholarly discussion,thread_coparticipation
Birgit Kellner,Jeffery Long,1,General scholarly discussion,thread_coparticipation
Birgit Kellner,Isabelle Ratie,1,General scholarly discussion,thread_coparticipation
Birgit Kellner,DIEGO LOUKOTA SANCLEMENTE,1,General scholarly discussion,thread_coparticipation
Birgit Kellner,Bradley Clough,1,General scholarly discussion,thread_coparticipation
Audrey Truschke,tatiana.oranskaia,1,General scholarly discussion,thread_coparticipation
Audrey Truschke,"Uskokov, Aleksandar",1,General scholarly discussion,thread_coparticipation
Audrey Truschke,Richard Mahoney | Indica et Buddhica,1,General scholarly discussion,thread_coparticipation
Audrey Truschke,Michael Brattus Jones,1,General scholarly discussion,thread_coparticipation
Audrey Truschke,Matthew Clark,1,General scholarly discussion,thread_coparticipation
Audrey Truschke,Malcolm Keating,1,General scholarly discussion,thread_coparticipation
Audrey Truschke,KORN Agnes,1,General scholarly discussion,thread_coparticipation
Audrey Truschke,Jon Skarpeid,1,General scholarly discussion,thread_coparticipation
Audrey Truschke,Jason Birch,1,General scholarly discussion,thread_coparticipation
John Archer,Kalyans at aol.com,1,General scholarly discussion,thread_coparticipation
l.m.fosse at easteur-orient.uio.no,malaiya at ravi.CS.ColoState.EDU,1,General scholarly discussion,thread_coparticipation
Joydeep Mitra,pramit bhasin,1,General scholarly discussion,thread_coparticipation
purushottama bilimoria,rwl at uts.cc.utexas.edu,1,General scholarly discussion,thread_coparticipation
dbak at unixg.ubc.ca,rwl at uts.cc.utexas.edu,1,General scholarly discussion,thread_coparticipation
dbak at unixg.ubc.ca,purushottama bilimoria,1,General scholarly discussion,thread_coparticipation
SILK at AC.GRIN.EDU,rwl at uts.cc.utexas.edu,1,General scholarly discussion,thread_coparticipation
SILK at AC.GRIN.EDU,purushottama bilimoria,1,General scholarly discussion,thread_coparticipation
SILK at AC.GRIN.EDU,dbak at unixg.ubc.ca,1,General scholarly discussion,thread_coparticipation
Peter D Banos,rwl at uts.cc.utexas.edu,1,General scholarly discussion,thread_coparticipation
Peter D Banos,purushottama bilimoria,1,General scholarly discussion,thread_coparticipation
Peter D Banos,dbak at unixg.ubc.ca,1,General scholarly discussion,thread_coparticipation
Birgit Kellner,"Uskokov, Aleksandar",1,General scholarly discussion,thread_coparticipation
Birgit Kellner,Paolo Eugenio Rosati,1,General scholarly discussion,thread_coparticipation
Birgit Kellner,Michael Brattus Jones,1,General scholarly discussion,thread_coparticipation
Birgit Kellner,Matthew Clark,1,General scholarly discussion,thread_coparticipation
Bradley Clough,"Olivelle, J P",1,General scholarly discussion,thread_coparticipation
Bradley Clough,Michael Brattus Jones,1,General scholarly discussion,thread_coparticipation
Bradley Clough,Malcolm Keating,1,General scholarly discussion,thread_coparticipation
Bradley Clough,KORN Agnes,1,General scholarly discussion,thread_coparticipation
Bradley Clough,Jon Skarpeid,1,General scholarly discussion,thread_coparticipation
Bradley Clough,Jason Birch,1,General scholarly discussion,thread_coparticipation
Bradley Clough,Isabelle Ratie,1,General scholarly discussion,thread_coparticipation
Bradley Clough,Harry Falk,1,General scholarly discussion,thread_coparticipation
Bradley Clough,DIEGO LOUKOTA SANCLEMENTE,1,General scholarly discussion,thread_coparticipation
Bradley Clough,Christophe Vielle,1,General scholarly discussion,thread_coparticipation
Bradley Clough,Camillo Formigatti,1,General scholarly discussion,thread_coparticipation
Birgit Kellner,tatiana.oranskaia,1,General scholarly discussion,thread_coparticipation
Birgit Kellner,farkhondeh iran,1,General scholarly discussion,thread_coparticipation
hipbone at earthlink.net,l.m.fosse at easteur-orient.uio.no,1,General scholarly discussion,thread_coparticipation
Kalyans at aol.com,Paul B. Courtright,1,General scholarly discussion,thread_coparticipation
John Archer,Paul B. Courtright,1,General scholarly discussion,thread_coparticipation
Camillo Formigatti,Michael Brattus Jones,1,General scholarly discussion,thread_coparticipation
Camillo Formigatti,Matthew Clark,1,General scholarly discussion,thread_coparticipation
Camillo Formigatti,Malcolm Keating,1,General scholarly discussion,thread_coparticipation
Camillo Formigatti,KORN Agnes,1,General scholarly discussion,thread_coparticipation
Camillo Formigatti,Jason Birch,1,General scholarly discussion,thread_coparticipation
Camillo Formigatti,Isabelle Ratie,1,General scholarly discussion,thread_coparticipation
Camillo Formigatti,Harry Falk,1,General scholarly discussion,thread_coparticipation
Bradley Clough,tatiana.oranskaia,1,General scholarly discussion,thread_coparticipation
Bradley Clough,farkhondeh iran,1,General scholarly discussion,thread_coparticipation
Bradley Clough,"Walser, Joseph",1,General scholarly discussion,thread_coparticipation
Bradley Clough,"Tieken, H.J.H.",1,General scholarly discussion,thread_coparticipation
Bradley Clough,Simon Brodbeck,1,General scholarly discussion,thread_coparticipation
Bradley Clough,Richard Mahoney | Indica et Buddhica,1,General scholarly discussion,thread_coparticipation
Bradley Clough,"Ram-Prasad, Chakravarthi",1,General scholarly discussion,thread_coparticipation
Bradley Clough,Philipp Maas,1,General scholarly discussion,thread_coparticipation
Bradley Clough,Paolo Eugenio Rosati,1,General scholarly discussion,thread_coparticipation
David Magier,rwl at uts.cc.utexas.edu,1,General scholarly discussion,thread_coparticipation
David Magier,purushottama bilimoria,1,General scholarly discussion,thread_coparticipation
David Magier,dbak at unixg.ubc.ca,1,General scholarly discussion,thread_coparticipation
Stanley Rice,kellner at ue.ipc.hiroshima-u.ac.jp,1,General scholarly discussion,thread_coparticipation
Prof G Samuel,kellner at ue.ipc.hiroshima-u.ac.jp,1,General scholarly discussion,thread_coparticipation
Prof G Samuel,Stanley Rice,1,General scholarly discussion,thread_coparticipation
Manisha Singal,kellner at ue.ipc.hiroshima-u.ac.jp,1,General scholarly discussion,thread_coparticipation
Manisha Singal,Stanley Rice,1,General scholarly discussion,thread_coparticipation
Christophe Vielle,Isabelle Ratie,1,General scholarly discussion,thread_coparticipation
Christophe Vielle,Harry Falk,1,General scholarly discussion,thread_coparticipation
Christophe Vielle,DIEGO LOUKOTA SANCLEMENTE,1,General scholarly discussion,thread_coparticipation
Camillo Formigatti,tatiana.oranskaia,1,General scholarly discussion,thread_coparticipation
Camillo Formigatti,farkhondeh iran,1,General scholarly discussion,thread_coparticipation
Camillo Formigatti,"Walser, Joseph",1,General scholarly discussion,thread_coparticipation
Camillo Formigatti,Simon Brodbeck,1,General scholarly discussion,thread_coparticipation
Camillo Formigatti,Paolo Eugenio Rosati,1,General scholarly discussion,thread_coparticipation
DIEGO LOUKOTA SANCLEMENTE,Jeffery Long,1,General scholarly discussion,thread_coparticipation
DIEGO LOUKOTA SANCLEMENTE,Jason Birch,1,General scholarly discussion,thread_coparticipation
DIEGO LOUKOTA SANCLEMENTE,Isabelle Ratie,1,General scholarly discussion,thread_coparticipation
DIEGO LOUKOTA SANCLEMENTE,Herman Tull,1,General scholarly discussion,thread_coparticipation
DIEGO LOUKOTA SANCLEMENTE,Harry Falk,1,General scholarly discussion,thread_coparticipation
Christophe Vielle,farkhondeh iran,1,General scholarly discussion,thread_coparticipation
Christophe Vielle,Richard Mahoney | Indica et Buddhica,1,General scholarly discussion,thread_coparticipation
Christophe Vielle,Michael Brattus Jones,1,General scholarly discussion,thread_coparticipation
Christophe Vielle,Matthew Clark,1,General scholarly discussion,thread_coparticipation
Christophe Vielle,Jason Birch,1,General scholarly discussion,thread_coparticipation
Peter D Banos,SILK at AC.GRIN.EDU,1,General scholarly discussion,thread_coparticipation
Gary M Tartakov,rwl at uts.cc.utexas.edu,1,General scholarly discussion,thread_coparticipation
Gary M Tartakov,purushottama bilimoria,1,General scholarly discussion,thread_coparticipation
Gary M Tartakov,dbak at unixg.ubc.ca,1,General scholarly discussion,thread_coparticipation
Gary M Tartakov,SILK at AC.GRIN.EDU,1,General scholarly discussion,thread_coparticipation
Gary M Tartakov,Peter D Banos,1,General scholarly discussion,thread_coparticipation
Harry Falk,KORN Agnes,1,General scholarly discussion,thread_coparticipation
Harry Falk,Jon Skarpeid,1,General scholarly discussion,thread_coparticipation
Harry Falk,Jeffery Long,1,General scholarly discussion,thread_coparticipation
Harry Falk,Jason Birch,1,General scholarly discussion,thread_coparticipation
DIEGO LOUKOTA SANCLEMENTE,tatiana.oranskaia,1,General scholarly discussion,thread_coparticipation
DIEGO LOUKOTA SANCLEMENTE,farkhondeh iran,1,General scholarly discussion,thread_coparticipation
DIEGO LOUKOTA SANCLEMENTE,"Walser, Joseph",1,General scholarly discussion,thread_coparticipation
DIEGO LOUKOTA SANCLEMENTE,Simon Brodbeck,1,General scholarly discussion,thread_coparticipation
DIEGO LOUKOTA SANCLEMENTE,Richard Mahoney | Indica et Buddhica,1,General scholarly discussion,thread_coparticipation
DIEGO LOUKOTA SANCLEMENTE,"Ram-Prasad, Chakravarthi",1,General scholarly discussion,thread_coparticipation
DIEGO LOUKOTA SANCLEMENTE,Patricia Sauthoff,1,General scholarly discussion,thread_coparticipation
DIEGO LOUKOTA SANCLEMENTE,Michael Brattus Jones,1,General scholarly discussion,thread_coparticipation
DIEGO LOUKOTA SANCLEMENTE,Matthew Clark,1,General scholarly discussion,thread_coparticipation
DIEGO LOUKOTA SANCLEMENTE,Malcolm Keating,1,General scholarly discussion,thread_coparticipation
DIEGO LOUKOTA SANCLEMENTE,KORN Agnes,1,General scholarly discussion,thread_coparticipation
DIEGO LOUKOTA SANCLEMENTE,Jon Skarpeid,1,General scholarly discussion,thread_coparticipation
Christian K. Wedemeyer,Frederick M Asher,1,General scholarly discussion,thread_coparticipation
CJPOWERS at DESIRE.WRIGHT.EDU,Frederick M Asher,1,General scholarly discussion,thread_coparticipation
CJPOWERS at DESIRE.WRIGHT.EDU,Christian K. Wedemeyer,1,General scholarly discussion,thread_coparticipation
thrapp at helios.nosc.mil,vidya at cco.caltech.edu,1,General scholarly discussion,thread_coparticipation
Suresh Madhu,pslvax!sadhu at UCSD.EDU,1,General scholarly discussion,thread_coparticipation
Gerard Huet,pslvax!sadhu at UCSD.EDU,1,General scholarly discussion,thread_coparticipation
Gerard Huet,Suresh Madhu,1,General scholarly discussion,thread_coparticipation
aklujkar at unixg.ubc.ca,james nye,1,General scholarly discussion,thread_coparticipation
Benjamin Preciado Solis,jdwhite at unccvm.uncc.edu,1,General scholarly discussion,thread_coparticipation
pslvax!siva!sadhu at UCSD.EDU,vidya at cco.caltech.edu,1,General scholarly discussion,thread_coparticipation
Peter Granda,vidya at cco.caltech.edu,1,General scholarly discussion,thread_coparticipation
Peter Granda,pslvax!siva!sadhu at UCSD.EDU,1,General scholarly discussion,thread_coparticipation
Harry Falk,"Olivelle, J P",1,General scholarly discussion,thread_coparticipation
Harry Falk,Michael Brattus Jones,1,General scholarly discussion,thread_coparticipation
Harry Falk,Matthew Clark,1,General scholarly discussion,thread_coparticipation
Harry Falk,Malcolm Keating,1,General scholarly discussion,thread_coparticipation
Herman Tull,Paolo Eugenio Rosati,1,General scholarly discussion,thread_coparticipation
Herman Tull,Matthew Clark,1,General scholarly discussion,thread_coparticipation
Herman Tull,Malcolm Keating,1,General scholarly discussion,thread_coparticipation
Herman Tull,KORN Agnes,1,General scholarly discussion,thread_coparticipation
Herman Tull,Jeffery Long,1,General scholarly discussion,thread_coparticipation
Herman Tull,Isabelle Ratie,1,General scholarly discussion,thread_coparticipation
Harry Falk,tatiana.oranskaia,1,General scholarly discussion,thread_coparticipation
Harry Falk,farkhondeh iran,1,General scholarly discussion,thread_coparticipation
Harry Falk,"Walser, Joseph",1,General scholarly discussion,thread_coparticipation
Harry Falk,"Uskokov, Aleksandar",1,General scholarly discussion,thread_coparticipation
Harry Falk,"Ram-Prasad, Chakravarthi",1,General scholarly discussion,thread_coparticipation
Harry Falk,Patricia Sauthoff,1,General scholarly discussion,thread_coparticipation
Manisha Singal,Prof G Samuel,1,General scholarly discussion,thread_coparticipation
David Magier,Stanley Rice,1,General scholarly discussion,thread_coparticipation
David Magier,Prof G Samuel,1,General scholarly discussion,thread_coparticipation
David Magier,Manisha Singal,1,General scholarly discussion,thread_coparticipation
Isabelle Ratie,Simon Brodbeck,1,General scholarly discussion,thread_coparticipation
Isabelle Ratie,Richard Mahoney | Indica et Buddhica,1,General scholarly discussion,thread_coparticipation
Isabelle Ratie,"Ram-Prasad, Chakravarthi",1,General scholarly discussion,thread_coparticipation
Isabelle Ratie,Patricia Sauthoff,1,General scholarly discussion,thread_coparticipation
Isabelle Ratie,Paolo Eugenio Rosati,1,General scholarly discussion,thread_coparticipation
Isabelle Ratie,Nagaraj Paturi,1,General scholarly discussion,thread_coparticipation
Isabelle Ratie,Michael Brattus Jones,1,General scholarly discussion,thread_coparticipation
Isabelle Ratie,Matthew Clark,1,General scholarly discussion,thread_coparticipation
Isabelle Ratie,Malcolm Keating,1,General scholarly discussion,thread_coparticipation
Isabelle Ratie,KORN Agnes,1,General scholarly discussion,thread_coparticipation
Isabelle Ratie,Jonathan Silk,1,General scholarly discussion,thread_coparticipation
Isabelle Ratie,Jon Skarpeid,1,General scholarly discussion,thread_coparticipation
Isabelle Ratie,Jeffery Long,1,General scholarly discussion,thread_coparticipation
Isabelle Ratie,Jason Birch,1,General scholarly discussion,thread_coparticipation
Herman Tull,farkhondeh iran,1,General scholarly discussion,thread_coparticipation
Herman Tull,"Ram-Prasad, Chakravarthi",1,General scholarly discussion,thread_coparticipation
Jason Birch,Philipp Maas,1,General scholarly discussion,thread_coparticipation
Jason Birch,Patricia Sauthoff,1,General scholarly discussion,thread_coparticipation
Jason Birch,"Olivelle, J P",1,General scholarly discussion,thread_coparticipation
Jason Birch,Nagaraj Paturi,1,General scholarly discussion,thread_coparticipation
Jason Birch,Michael Brattus Jones,1,General scholarly discussion,thread_coparticipation
Jason Birch,Matthew Clark,1,General scholarly discussion,thread_coparticipation
Jason Birch,Malcolm Keating,1,General scholarly discussion,thread_coparticipation
Jason Birch,Madhav Deshpande,1,General scholarly discussion,thread_coparticipation
Jason Birch,KORN Agnes,1,General scholarly discussion,thread_coparticipation
Jason Birch,Jon Skarpeid,1,General scholarly discussion,thread_coparticipation
Jason Birch,Jeffery Long,1,General scholarly discussion,thread_coparticipation
Isabelle Ratie,tatiana.oranskaia,1,General scholarly discussion,thread_coparticipation
Isabelle Ratie,farkhondeh iran,1,General scholarly discussion,thread_coparticipation
Isabelle Ratie,"Walser, Joseph",1,General scholarly discussion,thread_coparticipation
Isabelle Ratie,"Uskokov, Aleksandar",1,General scholarly discussion,thread_coparticipation
Isabelle Ratie,"Tieken, H.J.H.",1,General scholarly discussion,thread_coparticipation
GRUENENDAHL,william j alspaugh,1,General scholarly discussion,thread_coparticipation
GRUENENDAHL,cardona at unagi.cis.upenn.edu,1,General scholarly discussion,thread_coparticipation
R.W.Perrett at massey.ac.nz,n.rao at rz.uni-sb.de,1,General scholarly discussion,thread_coparticipation
Madhav Deshpande,n.rao at rz.uni-sb.de,1,General scholarly discussion,thread_coparticipation
Jeffery Long,Paolo Eugenio Rosati,1,General scholarly discussion,thread_coparticipation
Jeffery Long,Michael Brattus Jones,1,General scholarly discussion,thread_coparticipation
Jeffery Long,Matthew Clark,1,General scholarly discussion,thread_coparticipation
Jeffery Long,Malcolm Keating,1,General scholarly discussion,thread_coparticipation
Jeffery Long,KORN Agnes,1,General scholarly discussion,thread_coparticipation
Jeffery Long,Jon Skarpeid,1,General scholarly discussion,thread_coparticipation
Jason Birch,tatiana.oranskaia,1,General scholarly discussion,thread_coparticipation
Jason Birch,farkhondeh iran,1,General scholarly discussion,thread_coparticipation
Jason Birch,"Walser, Joseph",1,General scholarly discussion,thread_coparticipation
Jason Birch,Simon Brodbeck,1,General scholarly discussion,thread_coparticipation
Jason Birch,Richard Mahoney | Indica et Buddhica,1,General scholarly discussion,thread_coparticipation
Jason Birch,"Ram-Prasad, Chakravarthi",1,General scholarly discussion,thread_coparticipation
Jon Skarpeid,Paolo Eugenio Rosati,1,General scholarly discussion,thread_coparticipation
Jon Skarpeid,"Olivelle, J P",1,General scholarly discussion,thread_coparticipation
Jon Skarpeid,Nagaraj Paturi,1,General scholarly discussion,thread_coparticipation
Jon Skarpeid,Michael Brattus Jones,1,General scholarly discussion,thread_coparticipation
Jon Skarpeid,Matthew Clark,1,General scholarly discussion,thread_coparticipation
Jon Skarpeid,Malcolm Keating,1,General scholarly discussion,thread_coparticipation
Jon Skarpeid,KORN Agnes,1,General scholarly discussion,thread_coparticipation
Jon Skarpeid,Jonathan Silk,1,General scholarly discussion,thread_coparticipation
Jeffery Long,farkhondeh iran,1,General scholarly discussion,thread_coparticipation
Jeffery Long,Simon Brodbeck,1,General scholarly discussion,thread_coparticipation
mchari at bcm.tmc.edu,pslvax!sadhu at UCSD.EDU,1,General scholarly discussion,thread_coparticipation
Andrew Fort,GRUENENDAHL,1,General scholarly discussion,thread_coparticipation
Andrew Fort,B.Loturco at agora.stm.it,1,General scholarly discussion,thread_coparticipation
r.l.schmidt at easteur-orient.uio.no,tony_stewart at ncsu.edu,1,General scholarly discussion,thread_coparticipation
"Aditya, The Hindu Skeptic",RABE at vaxd.sxu.edu,1,General scholarly discussion,thread_coparticipation
cardona at unagi.cis.upenn.edu,william j alspaugh,1,General scholarly discussion,thread_coparticipation
KORN Agnes,Malcolm Keating,1,General scholarly discussion,thread_coparticipation
Jonathan Silk,tatiana.oranskaia,1,General scholarly discussion,thread_coparticipation
Jonathan Silk,farkhondeh iran,1,General scholarly discussion,thread_coparticipation
Jonathan Silk,Michael Brattus Jones,1,General scholarly discussion,thread_coparticipation
Jonathan Silk,Matthew Clark,1,General scholarly discussion,thread_coparticipation
Jonathan Silk,Malcolm Keating,1,General scholarly discussion,thread_coparticipation
Jon Skarpeid,tatiana.oranskaia,1,General scholarly discussion,thread_coparticipation
Jon Skarpeid,farkhondeh iran,1,General scholarly discussion,thread_coparticipation
Jon Skarpeid,"Walser, Joseph",1,General scholarly discussion,thread_coparticipation
Jon Skarpeid,"Uskokov, Aleksandar",1,General scholarly discussion,thread_coparticipation
Jon Skarpeid,"Tieken, H.J.H.",1,General scholarly discussion,thread_coparticipation
Jon Skarpeid,Simon Brodbeck,1,General scholarly discussion,thread_coparticipation
Jon Skarpeid,Richard Mahoney | Indica et Buddhica,1,General scholarly discussion,thread_coparticipation
Jon Skarpeid,"Ram-Prasad, Chakravarthi",1,General scholarly discussion,thread_coparticipation
Jon Skarpeid,Philipp Maas,1,General scholarly discussion,thread_coparticipation
Jon Skarpeid,Patricia Sauthoff,1,General scholarly discussion,thread_coparticipation
Malcolm Keating,Michael Brattus Jones,1,General scholarly discussion,thread_coparticipation
Malcolm Keating,Matthew Clark,1,General scholarly discussion,thread_coparticipation
Madhav Deshpande,farkhondeh iran,1,General scholarly discussion,thread_coparticipation
Madhav Deshpande,Simon Brodbeck,1,General scholarly discussion,thread_coparticipation
