queue_rank,thread_root_id,curation_status,review_track,suggested_track,suggested_track_basis,case_type,review_decision,short_title,english_public_note_draft,english_why_it_matters_draft,curator_comments,manual_reviewer,manual_review_date,subject,year,primary_topic,list_function,message_count,author_count,reply_count,case_score,page_path,first_url,evidence
95,001414,candidate,,,,general discussion,,Sanskrit to be an elective subject in schools,,,,,,Sanskrit to be an elective subject in schools,1994,General scholarly discussion,general discussion,22,15,21,135,threads/095-001414-sanskrit-to-be-an-elective-subject-in-schools.html,https://list.indology.info/pipermail/indology/1994-October/001414.html,long thread; multi-author; resolved replies; request/help language; debate language
96,020322,candidate,,,,general discussion,,ICHR controversey,,,,,,ICHR controversey,2000,General scholarly discussion,general discussion,23,10,22,135,threads/096-020322-ichr-controversey.html,https://list.indology.info/pipermail/indology/2000-March/020322.html,long thread; multi-author; resolved replies; request/help language; debate language
97,032816,candidate,,,,general discussion,,"clinking, silent and slipping bangles",,,,,,"clinking, silent and slipping bangles",2009,General scholarly discussion,general discussion,21,17,19,134,threads/097-032816-clinking-silent-and-slipping-bangles.html,https://list.indology.info/pipermail/indology/2009-March/032819.html,long thread; multi-author; resolved replies; request/help language
98,012112,candidate,,,,general discussion,,Koel (and Hobson-Jobson),,,,,,Koel (and Hobson-Jobson),1998,General scholarly discussion,general discussion,30,8,29,134,threads/098-012112-koel-and-hobson-jobson.html,https://list.indology.info/pipermail/indology/1998-May/012112.html,long thread; multi-author; resolved replies; thanks/correction language
99,002949,candidate,,,,general discussion,,Justification for teaching Sanskrit,,,,,,Justification for teaching Sanskrit,1995,General scholarly discussion,general discussion,26,12,25,134,threads/099-002949-justification-for-teaching-sanskrit.html,https://list.indology.info/pipermail/indology/1995-August/002949.html,long thread; multi-author; resolved replies; debate language
100,005629,candidate,,,,announcement,,Event announcement: Testing Workshop,,,,,,Event announcement: Testing Workshop,1996,General scholarly discussion,general discussion,21,13,19,134,threads/100-005629-event-announcement-testing-workshop.html,https://list.indology.info/pipermail/indology/1996-August/005632.html,long thread; multi-author; resolved replies; request/help language
101,017614,candidate,,,,general discussion,,Aurobindo about Advaita,,,,,,Aurobindo about Advaita,1999,General scholarly discussion,general discussion,26,11,25,133,threads/101-017614-aurobindo-about-advaita.html,https://list.indology.info/pipermail/indology/1999-June/017614.html,long thread; multi-author; resolved replies; request/help language
102,038944,candidate,,,,general discussion,,Public statement from Wendy Doniger,,,,,,Public statement from Wendy Doniger,2014,History and culture,general discussion,26,15,25,133,threads/102-038944-public-statement-from-wendy-doniger.html,https://list.indology.info/pipermail/indology/2014-February/038944.html,long thread; multi-author; resolved replies
103,024485,candidate,,,,general discussion,,Re. Devaraja,,,,,,Re. Devaraja,2000,General scholarly discussion,general discussion,26,11,25,133,threads/103-024485-re-devaraja.html,https://list.indology.info/pipermail/indology/2000-December/024485.html,long thread; multi-author; resolved replies; request/help language
104,032337,candidate,,philological_substance,topic=Buddhism and Jainism,general discussion,,Proceedings BM Symposium: Mansar,,,,,,Proceedings BM Symposium: Mansar,2008,Buddhism and Jainism,general discussion,26,14,24,132,threads/104-032337-proceedings-bm-symposium-mansar.html,https://list.indology.info/pipermail/indology/2008-December/032343.html,long thread; multi-author; resolved replies
105,017437,candidate,,,,general discussion,,Sundarapandya's Varttika,,,,,,Sundarapandya's Varttika,1999,General scholarly discussion,general discussion,22,14,20,132,threads/105-017437-sundarapandya-s-varttika.html,https://list.indology.info/pipermail/indology/1999-June/017439.html,long thread; multi-author; resolved replies; request/help language
106,041441,candidate,,,,general discussion,,Religious Literature with Political Purposes,,,,,,Religious Literature with Political Purposes,2015,General scholarly discussion,general discussion,33,10,32,131,threads/106-041441-religious-literature-with-political-purposes.html,https://list.indology.info/pipermail/indology/2015-July/041441.html,long thread; multi-author; resolved replies
107,049669,candidate,,philological_substance,function=identification/help request,identification/help request,,question about a soliciation from publisher MDPI,,,,,,question about a soliciation from publisher MDPI,2019,General scholarly discussion,identification/help request,25,14,24,131,threads/107-049669-question-about-a-soliciation-from-publisher-mdpi.html,https://list.indology.info/pipermail/indology/2019-March/049669.html,long thread; multi-author; resolved replies; request/help language
108,046838,candidate,,,,general discussion,,Sources on Relationship btw Oral/Literary Traditions,,,,,,Sources on Relationship btw Oral/Literary Traditions,2017,General scholarly discussion,general discussion,27,16,26,131,threads/108-046838-sources-on-relationship-btw-oral-literary-traditions.html,https://list.indology.info/pipermail/indology/2017-November/046838.html,long thread; multi-author; resolved replies
109,015333,candidate,,philological_substance,keyword match,philological debate,,references to tuLu language in ancient Tamil text,,,,,,references to tuLu language in ancient Tamil text,1999,General scholarly discussion,general discussion,26,14,25,130,threads/109-015333-references-to-tulu-language-in-ancient-tamil-text.html,https://list.indology.info/pipermail/indology/1999-January/015333.html,long thread; multi-author; resolved replies
110,033251,candidate,,philological_substance,topic=Texts and philology,philological discussion,,The Film Adi Shankaracharya,,,,,,The Film Adi Shankaracharya,2009,Texts and philology,philological discussion,25,11,24,130,threads/110-033251-the-film-adi-shankaracharya.html,https://list.indology.info/pipermail/indology/2009-June/033251.html,long thread; multi-author; resolved replies; request/help language
111,032470,candidate,,,,general discussion,,invertebrates,,,,,,invertebrates,2009,General scholarly discussion,general discussion,33,10,31,129,threads/111-032470-invertebrates.html,https://list.indology.info/pipermail/indology/2009-January/032476.html,long thread; multi-author; resolved replies
112,042823,candidate,,,,general discussion,,Origin of Mahācīna,,,,,,Origin of Mahācīna,2016,General scholarly discussion,general discussion,26,16,25,128,threads/112-042823-origin-of-mah-c-na.html,https://list.indology.info/pipermail/indology/2016-March/042823.html,long thread; multi-author; resolved replies
113,007414,candidate,,,,general discussion,,references,,,,,,references,1997,General scholarly discussion,general discussion,24,12,22,128,threads/113-007414-references.html,https://list.indology.info/pipermail/indology/1997-March/007419.html,long thread; multi-author; resolved replies; request/help language
114,026060,candidate,,,,general discussion,,Etymology of sanskrit roots miS and miil,,,,,,Etymology of sanskrit roots miS and miil,2001,General scholarly discussion,general discussion,26,12,24,128,threads/114-026060-etymology-of-sanskrit-roots-mis-and-miil.html,https://list.indology.info/pipermail/indology/2001-April/026063.html,long thread; multi-author; resolved replies; debate language
115,033211,candidate,,infrastructure_history,topic=Digital resources and tools,digital resource/tool,,Sanskrit IAST data entry tool,,,,,,Sanskrit IAST data entry tool,2009,Digital resources and tools,digital resource/tool,22,19,20,127,threads/115-033211-sanskrit-iast-data-entry-tool.html,https://list.indology.info/pipermail/indology/2009-May/033220.html,long thread; multi-author; resolved replies
116,020988,candidate,,,,general discussion,,snake & mongoose in ancient India,,,,,,snake & mongoose in ancient India,2000,General scholarly discussion,general discussion,17,12,16,127,threads/116-020988-snake-mongoose-in-ancient-india.html,https://list.indology.info/pipermail/indology/2000-April/020988.html,long thread; multi-author; resolved replies; request/help language; thanks/correction language
117,022758,candidate,,,,general discussion,,zaNa (hemp),,,,,,zaNa (hemp),2000,General scholarly discussion,general discussion,22,13,21,127,threads/117-022758-zana-hemp.html,https://list.indology.info/pipermail/indology/2000-September/022758.html,long thread; multi-author; resolved replies; request/help language
118,008144,candidate,,,,general discussion,,Varna and Color,,,,,,Varna and Color,1997,General scholarly discussion,general discussion,24,14,23,126,threads/118-008144-varna-and-color.html,https://list.indology.info/pipermail/indology/1997-May/008144.html,long thread; multi-author; resolved replies; thanks/correction language
119,044291,candidate,,,,general discussion,,Sexual Harassment,,,,,,Sexual Harassment,2016,General scholarly discussion,general discussion,27,13,26,126,threads/119-044291-sexual-harassment.html,https://list.indology.info/pipermail/indology/2016-October/044291.html,long thread; multi-author; resolved replies
120,018804,candidate,,,,general discussion,,TretA etymology,,,,,,TretA etymology,1999,General scholarly discussion,general discussion,25,11,24,126,threads/120-018804-treta-etymology.html,https://list.indology.info/pipermail/indology/1999-October/018804.html,long thread; multi-author; resolved replies; request/help language
121,048761,candidate,,,,general discussion,,brick-making communities,,,,,,brick-making communities,2018,General scholarly discussion,general discussion,24,16,23,126,threads/121-048761-brick-making-communities.html,https://list.indology.info/pipermail/indology/2018-November/048761.html,long thread; multi-author; resolved replies
122,016322,candidate,,,,general discussion,,Women in Afghanistan,,,,,,Women in Afghanistan,1999,General scholarly discussion,general discussion,23,11,21,126,threads/122-016322-women-in-afghanistan.html,https://list.indology.info/pipermail/indology/1999-March/016336.html,long thread; multi-author; resolved replies; request/help language
123,041686,candidate,,philological_substance,topic=Bibliographic requests,identification/help request,,Does anyone know of Sanskrit works that use 2nd-syllable rhyming?,,,,,,Does anyone know of Sanskrit works that use 2nd-syllable rhyming?,2015,Bibliographic requests,identification/help request,24,12,23,126,threads/123-041686-does-anyone-know-of-sanskrit-works-that-use-2nd-syllable-rhyming.html,https://list.indology.info/pipermail/indology/2015-July/041686.html,long thread; multi-author; resolved replies; request/help language
124,009713,candidate,,,,general discussion,,m/anusvAra & s/visarga - correction,,,,,,m/anusvAra & s/visarga - correction,1997,General scholarly discussion,general discussion,24,9,22,125,threads/124-009713-m-anusvara-s-visarga-correction.html,https://list.indology.info/pipermail/indology/1997-November/009719.html,long thread; multi-author; resolved replies; request/help language; thanks/correction language
125,047735,candidate,,,,general discussion,,Brackets in modern sanskrit translations,,,,,,Brackets in modern sanskrit translations,2018,General scholarly discussion,general discussion,23,18,22,125,threads/125-047735-brackets-in-modern-sanskrit-translations.html,https://list.indology.info/pipermail/indology/2018-June/047735.html,long thread; multi-author; resolved replies
126,061773,candidate,,philological_substance,keyword match,general discussion,,Working with Pali Manuscripts: A Summer School,,,,,,Working with Pali Manuscripts: A Summer School,2026,General scholarly discussion,general discussion,23,15,22,124,threads/126-061773-working-with-pali-manuscripts-a-summer-school.html,https://list.indology.info/pipermail/indology/2026-March/061773.html,long thread; multi-author; resolved replies
127,005015,candidate,,infrastructure_history,keyword match,general discussion,,List of references in Astronomy,,,,,,List of references in Astronomy,1996,General scholarly discussion,general discussion,24,11,23,123,threads/127-005015-list-of-references-in-astronomy.html,https://list.indology.info/pipermail/indology/1996-May/005015.html,long thread; multi-author; resolved replies; request/help language
128,014577,candidate,,,,general discussion,,Backup tapes of Indology archives,,,,,,Backup tapes of Indology archives,1998,General scholarly discussion,general discussion,30,9,29,123,threads/128-014577-backup-tapes-of-indology-archives.html,https://list.indology.info/pipermail/indology/1998-December/014577.html,long thread; multi-author; resolved replies
129,012670,candidate,,,,general discussion,,"method of dating RV, III",,,,,,"method of dating RV, III",1998,General scholarly discussion,general discussion,25,10,24,123,threads/129-012670-method-of-dating-rv-iii.html,https://list.indology.info/pipermail/indology/1998-June/012670.html,long thread; multi-author; resolved replies; request/help language
130,022961,candidate,,,,general discussion,,Persecutin by/on Jains,,,,,,Persecutin by/on Jains,2000,General scholarly discussion,general discussion,29,11,28,122,threads/130-022961-persecutin-by-on-jains.html,https://list.indology.info/pipermail/indology/2000-October/022961.html,long thread; multi-author; resolved replies
131,055236,candidate,,,,general discussion,,Visualisation of Sanskrit Phonetics,,,,,,Visualisation of Sanskrit Phonetics,2021,General scholarly discussion,general discussion,27,13,26,122,threads/131-055236-visualisation-of-sanskrit-phonetics.html,https://list.indology.info/pipermail/indology/2021-September/055236.html,long thread; multi-author; resolved replies
132,044118,candidate,,,,bibliographic rescue,,New article on Sanskrit,,,,,,New article on Sanskrit,2016,General scholarly discussion,general discussion,26,10,25,122,threads/132-044118-new-article-on-sanskrit.html,https://list.indology.info/pipermail/indology/2016-September/044118.html,long thread; multi-author; resolved replies; request/help language
133,006050,candidate,,,,general discussion,,"Req: ""dirty"" words in Sanskrit",,,,,,"Req: ""dirty"" words in Sanskrit",1996,General scholarly discussion,general discussion,22,17,20,121,threads/133-006050-req-dirty-words-in-sanskrit.html,https://list.indology.info/pipermail/indology/1996-November/006056.html,long thread; multi-author; resolved replies
134,025095,candidate,,,,general discussion,,Did you hear this?,,,,,,Did you hear this?,2001,General scholarly discussion,general discussion,25,12,24,121,threads/134-025095-did-you-hear-this.html,https://list.indology.info/pipermail/indology/2001-January/025095.html,long thread; multi-author; resolved replies
135,022930,candidate,,,,general discussion,,Rajaram episode,,,,,,Rajaram episode,2000,General scholarly discussion,general discussion,23,14,22,121,threads/135-022930-rajaram-episode.html,https://list.indology.info/pipermail/indology/2000-October/022930.html,long thread; multi-author; resolved replies
136,022503,candidate,,,,general discussion,,Thanks for replies (was: request for out of print books),,,,,,Thanks for replies (was: request for out of print books),2000,General scholarly discussion,general discussion,19,11,17,120,threads/136-022503-thanks-for-replies-was-request-for-out-of-print-books.html,https://list.indology.info/pipermail/indology/2000-August/022552.html,long thread; multi-author; resolved replies; request/help language; thanks/correction language
137,017453,candidate,,,,general discussion,,Forwarded message from Prof. Saroja Bhate,,,,,,Forwarded message from Prof. Saroja Bhate,1999,General scholarly discussion,general discussion,20,11,19,119,threads/137-017453-forwarded-message-from-prof-saroja-bhate.html,https://list.indology.info/pipermail/indology/1999-June/017453.html,long thread; multi-author; resolved replies; request/help language
138,054205,candidate,,infrastructure_history,keyword match,bibliographic rescue,,"Request pdf, film Vājapeya 1955, Poona",,,,,,"Request pdf, film Vājapeya 1955, Poona",2021,Bibliographic requests,bibliographic request,21,14,20,119,threads/138-054205-request-pdf-film-v-japeya-1955-poona.html,https://list.indology.info/pipermail/indology/2021-February/054205.html,long thread; multi-author; resolved replies; request/help language
139,052165,candidate,,,,general discussion,,Lines to an Advaitin,,,,,,Lines to an Advaitin,2020,General scholarly discussion,general discussion,24,15,23,119,threads/139-052165-lines-to-an-advaitin.html,https://list.indology.info/pipermail/indology/2020-April/052165.html,long thread; multi-author; resolved replies
140,056580,candidate,,philological_substance,topic=Grammar and linguistics,philological debate,,Sandhi examples in the english language,,,,,,Sandhi examples in the english language,2022,Grammar and linguistics,philological discussion,23,16,22,119,threads/140-056580-sandhi-examples-in-the-english-language.html,https://list.indology.info/pipermail/indology/2022-August/056580.html,long thread; multi-author; resolved replies
141,011949,candidate,,,,general discussion,,Telugu history,,,,,,Telugu history,1998,History and culture,general discussion,21,12,20,119,threads/141-011949-telugu-history.html,https://list.indology.info/pipermail/indology/1998-May/011949.html,long thread; multi-author; resolved replies; debate language
142,010570,candidate,,,,general discussion,,The Cat,,,,,,The Cat,1998,General scholarly discussion,general discussion,19,16,18,119,threads/142-010570-the-cat.html,https://list.indology.info/pipermail/indology/1998-January/010570.html,long thread; multi-author; resolved replies; request/help language
143,043031,candidate,,,,announcement/event,,New publication,,,,,,New publication,2016,General scholarly discussion,announcement/event,24,15,23,119,threads/143-043031-new-publication.html,https://list.indology.info/pipermail/indology/2016-April/043031.html,long thread; multi-author; resolved replies
144,054558,candidate,,philological_substance,topic=Veda and ritual,general discussion,,Rgveda complete study material and reverse word index,,,,,,Rgveda complete study material and reverse word index,2021,Veda and ritual,general discussion,24,15,23,119,threads/144-054558-rgveda-complete-study-material-and-reverse-word-index.html,https://list.indology.info/pipermail/indology/2021-April/054558.html,long thread; multi-author; resolved replies
145,010324,candidate,,,,general discussion,,Uttara Kuru,,,,,,Uttara Kuru,1998,General scholarly discussion,general discussion,19,13,18,118,threads/145-010324-uttara-kuru.html,https://list.indology.info/pipermail/indology/1998-January/010324.html,long thread; multi-author; resolved replies; request/help language
146,038560,candidate,,infrastructure_history,topic=Digital resources and tools,digital resource/tool,,Devanagari keyboard,,,,,,Devanagari keyboard,2013,Digital resources and tools,digital resource/tool,24,13,23,117,threads/146-038560-devanagari-keyboard.html,https://list.indology.info/pipermail/indology/2013-November/038560.html,long thread; multi-author; resolved replies
147,004694,candidate,,,,general discussion,,Satyarth Prakash,,,,,,Satyarth Prakash,1996,General scholarly discussion,general discussion,21,10,19,117,threads/147-004694-satyarth-prakash.html,https://list.indology.info/pipermail/indology/1996-April/004704.html,long thread; multi-author; resolved replies; request/help language
148,011873,candidate,,,,general discussion,,human sacrifice (allusion to Abraham),,,,,,human sacrifice (allusion to Abraham),1998,General scholarly discussion,general discussion,22,13,21,117,threads/148-011873-human-sacrifice-allusion-to-abraham.html,https://list.indology.info/pipermail/indology/1998-April/011873.html,long thread; multi-author; resolved replies; thanks/correction language
149,036327,candidate,,,,general discussion,,Vishnu on the banks of the Volga river,,,,,,Vishnu on the banks of the Volga river,2012,General scholarly discussion,general discussion,22,13,20,117,threads/149-036327-vishnu-on-the-banks-of-the-volga-river.html,https://list.indology.info/pipermail/indology/2012-February/036333.html,long thread; multi-author; resolved replies; request/help language
150,059606,candidate,,infrastructure_history,keyword match,philological debate,,List of paninian equivalents of western grammatical terms for sanskrit,,,,,,List of paninian equivalents of western grammatical terms for sanskrit,2024,Grammar and linguistics,philological discussion,23,12,22,117,threads/150-059606-list-of-paninian-equivalents-of-western-grammatical-terms-for-sanskrit.html,https://list.indology.info/pipermail/indology/2024-September/059606.html,long thread; multi-author; resolved replies; thanks/correction language
151,013061,candidate,,philological_substance,function=general discussion,identification/help request,,An old question,,,,,,An old question,1998,General scholarly discussion,general discussion,22,11,21,117,threads/151-013061-an-old-question.html,https://list.indology.info/pipermail/indology/1998-July/013061.html,long thread; multi-author; resolved replies; request/help language
152,021795,candidate,,,,general discussion,,script summary,,,,,,script summary,2000,General scholarly discussion,general discussion,30,5,29,117,threads/152-021795-script-summary.html,https://list.indology.info/pipermail/indology/2000-July/021795.html,long thread; multi-author; resolved replies; debate language
153,041278,candidate,,philological_substance,topic=Manuscripts and epigraphy,general discussion,,prof. or mr. or mrs. or ms. etc first name,,,,,,prof. or mr. or mrs. or ms. etc first name,2015,Manuscripts and epigraphy,general discussion,21,12,20,117,threads/153-041278-prof-or-mr-or-mrs-or-ms-etc-first-name.html,https://list.indology.info/pipermail/indology/2015-June/041278.html,long thread; multi-author; resolved replies; request/help language
154,020641,candidate,,,,general discussion,,creative atomic scientist's translations,,,,,,creative atomic scientist's translations,2000,General scholarly discussion,general discussion,21,9,20,116,threads/154-020641-creative-atomic-scientist-s-translations.html,https://list.indology.info/pipermail/indology/2000-March/020641.html,long thread; multi-author; resolved replies; request/help language
155,017105,candidate,,,,general discussion,,varna and jati,,,,,,varna and jati,1999,General scholarly discussion,general discussion,20,10,19,116,threads/155-017105-varna-and-jati.html,https://list.indology.info/pipermail/indology/1999-May/017105.html,long thread; multi-author; resolved replies; request/help language
156,049215,candidate,,,,general discussion,,Continuing my Krishna verses,,,,,,Continuing my Krishna verses,2019,General scholarly discussion,general discussion,31,3,30,116,threads/156-049215-continuing-my-krishna-verses.html,https://list.indology.info/pipermail/indology/2019-February/049215.html,long thread; resolved replies; request/help language
157,019627,candidate,,,,general discussion,,Vital Statistics,,,,,,Vital Statistics,2000,General scholarly discussion,general discussion,20,10,19,116,threads/157-019627-vital-statistics.html,https://list.indology.info/pipermail/indology/2000-January/019627.html,long thread; multi-author; resolved replies; request/help language
158,054890,candidate,,,,general discussion,,Where can you do a BA in Sanskrit?,,,,,,Where can you do a BA in Sanskrit?,2021,General scholarly discussion,general discussion,23,15,22,116,threads/158-054890-where-can-you-do-a-ba-in-sanskrit.html,https://list.indology.info/pipermail/indology/2021-June/054890.html,long thread; multi-author; resolved replies
159,044254,candidate,,,,general discussion,,Indologist at Center of Sexual Harassment Mess at Berkeley,,,,,,Indologist at Center of Sexual Harassment Mess at Berkeley,2016,General scholarly discussion,general discussion,20,17,20,115,threads/159-044254-indologist-at-center-of-sexual-harassment-mess-at-berkeley.html,https://list.indology.info/pipermail/indology/2016-October/044254.html,long thread; multi-author; resolved replies
160,012826,candidate,,,,general discussion,,Tampering with history,,,,,,Tampering with history,1998,General scholarly discussion,general discussion,22,11,20,115,threads/160-012826-tampering-with-history.html,https://list.indology.info/pipermail/indology/1998-June/012839.html,long thread; multi-author; resolved replies; request/help language
161,028701,candidate,,,,general discussion,,Devanagari,,,,,,Devanagari,2004,General scholarly discussion,general discussion,21,10,20,115,threads/161-028701-devanagari.html,https://list.indology.info/pipermail/indology/2004-November/028701.html,long thread; multi-author; resolved replies; request/help language
162,009072,candidate,,,,general discussion,,Dravidian Cryptography,,,,,,Dravidian Cryptography,1997,General scholarly discussion,general discussion,20,15,19,115,threads/162-009072-dravidian-cryptography.html,https://list.indology.info/pipermail/indology/1997-September/009072.html,long thread; multi-author; resolved replies
163,015077,candidate,,,,general discussion,,Deepa Mehta's _Fire_,,,,,,Deepa Mehta's _Fire_,1999,General scholarly discussion,general discussion,25,6,24,115,threads/163-015077-deepa-mehta-s-fire.html,https://list.indology.info/pipermail/indology/1999-January/015077.html,long thread; multi-author; resolved replies; request/help language
164,002936,candidate,,,,debate/controversy,,Justification for teaching Sanskrit,,,,,,Justification for teaching Sanskrit,1995,General scholarly discussion,debate/controversy,20,11,18,115,threads/164-002936-justification-for-teaching-sanskrit.html,https://list.indology.info/pipermail/indology/1995-August/002939.html,long thread; multi-author; resolved replies; debate language
165,024362,candidate,,philological_substance,function=general discussion,identification/help request,,SV: Science Fiction Question for an Indologist (fwd),,,,,,SV: Science Fiction Question for an Indologist (fwd),2000,General scholarly discussion,general discussion,18,13,17,115,threads/165-024362-sv-science-fiction-question-for-an-indologist-fwd.html,https://list.indology.info/pipermail/indology/2000-December/024362.html,long thread; multi-author; resolved replies; request/help language
166,007021,candidate,,infrastructure_history,keyword match,general discussion,,IJTS: Nina Fonts for Devanagari,,,,,,IJTS: Nina Fonts for Devanagari,1997,General scholarly discussion,general discussion,20,16,19,114,threads/166-007021-ijts-nina-fonts-for-devanagari.html,https://list.indology.info/pipermail/indology/1997-February/007021.html,long thread; multi-author; resolved replies
167,031427,candidate,,infrastructure_history,topic=Digital resources and tools,digital resource/tool,,Digital Kielhorn,,,,,,Digital Kielhorn,2008,Digital resources and tools,digital resource/tool,25,11,24,114,threads/167-031427-digital-kielhorn.html,https://list.indology.info/pipermail/indology/2008-February/031427.html,long thread; multi-author; resolved replies
168,019962,candidate,,,,general discussion,,Death of Prof. J. W. de Jong (1921-2000),,,,,,Death of Prof. J. W. de Jong (1921-2000),2000,General scholarly discussion,general discussion,20,16,19,114,threads/168-019962-death-of-prof-j-w-de-jong-1921-2000.html,https://list.indology.info/pipermail/indology/2000-January/019962.html,long thread; multi-author; resolved replies
169,017619,candidate,,,,general discussion,,Pythagoras mentioned in Vedas?,,,,,,Pythagoras mentioned in Vedas?,1999,General scholarly discussion,general discussion,23,14,22,113,threads/169-017619-pythagoras-mentioned-in-vedas.html,https://list.indology.info/pipermail/indology/1999-June/017619.html,long thread; multi-author; resolved replies
170,017615,candidate,,,,general discussion,,!Re: Sri Aurobindo,,,,,,!Re: Sri Aurobindo,1999,General scholarly discussion,general discussion,21,10,19,113,threads/170-017615-re-sri-aurobindo.html,https://list.indology.info/pipermail/indology/1999-June/017621.html,long thread; multi-author; resolved replies; request/help language
171,059224,candidate,,,,general discussion,,nyaya and regress,,,,,,nyaya and regress,2024,General scholarly discussion,general discussion,26,11,25,113,threads/171-059224-nyaya-and-regress.html,https://list.indology.info/pipermail/indology/2024-June/059224.html,long thread; multi-author; resolved replies
172,003777,candidate,,,,general discussion,,old/new translations,,,,,,old/new translations,1995,General scholarly discussion,general discussion,18,12,16,112,threads/172-003777-old-new-translations.html,https://list.indology.info/pipermail/indology/1995-December/003780.html,long thread; multi-author; resolved replies; debate language
173,005881,candidate,,,,bibliographic rescue,,article,,,,,,article,1996,General scholarly discussion,general discussion,17,13,16,112,threads/173-005881-article.html,https://list.indology.info/pipermail/indology/1996-October/005881.html,long thread; multi-author; resolved replies; request/help language
174,028991,candidate,,,,general discussion,,elves: Indic counterpart?,,,,,,elves: Indic counterpart?,2005,General scholarly discussion,general discussion,22,12,20,112,threads/174-028991-elves-indic-counterpart.html,https://list.indology.info/pipermail/indology/2005-February/028993.html,long thread; multi-author; resolved replies; thanks/correction language
175,026153,candidate,,,,general discussion,,"""Ven. Tantra"" a group",,,,,,"""Ven. Tantra"" a group",2001,General scholarly discussion,general discussion,14,14,13,112,threads/175-026153-ven-tantra-a-group.html,https://list.indology.info/pipermail/indology/2001-April/026153.html,long thread; multi-author; resolved replies; request/help language; thanks/correction language
176,043610,candidate,,,,general discussion,,glass in ancient India,,,,,,glass in ancient India,2016,History and culture,general discussion,21,14,20,111,threads/176-043610-glass-in-ancient-india.html,https://list.indology.info/pipermail/indology/2016-July/043610.html,long thread; multi-author; resolved replies
177,036432,candidate,,philological_substance,topic=Manuscripts and epigraphy,philological debate,,Manuscript copies of printed books,,,,,,Manuscript copies of printed books,2012,Manuscripts and epigraphy,philological discussion,15,14,13,111,threads/177-036432-manuscript-copies-of-printed-books.html,https://list.indology.info/pipermail/indology/2012-March/036435.html,long thread; multi-author; resolved replies; request/help language
178,012612,candidate,,,,general discussion,,sarasvatI (etymology),,,,,,sarasvatI (etymology),1998,General scholarly discussion,general discussion,18,11,17,111,threads/178-012612-sarasvati-etymology.html,https://list.indology.info/pipermail/indology/1998-June/012612.html,long thread; multi-author; resolved replies; request/help language; debate language
179,023446,candidate,,,,general discussion,,New Harappan Gallery,,,,,,New Harappan Gallery,2000,General scholarly discussion,general discussion,21,10,20,111,threads/179-023446-new-harappan-gallery.html,https://list.indology.info/pipermail/indology/2000-October/023446.html,long thread; multi-author; resolved replies
180,022591,candidate,,,,general discussion,,SV: Urdu/hindi,,,,,,SV: Urdu/hindi,2000,General scholarly discussion,general discussion,24,9,22,111,threads/180-022591-sv-urdu-hindi.html,https://list.indology.info/pipermail/indology/2000-September/022593.html,long thread; multi-author; resolved replies
181,014333,candidate,,,,general discussion,,SV: SV: Is the Aryan Invasion a Myth?,,,,,,SV: SV: Is the Aryan Invasion a Myth?,1998,General scholarly discussion,general discussion,19,14,18,111,threads/181-014333-sv-sv-is-the-aryan-invasion-a-myth.html,https://list.indology.info/pipermail/indology/1998-December/014333.html,long thread; multi-author; resolved replies; debate language
182,010366,candidate,,philological_substance,topic=Texts and philology,philological discussion,,"""Indus Script"" , ""Aryan Invasion Theory"" and ""horse(s) in the Indus Valley""",,,,,,"""Indus Script"" , ""Aryan Invasion Theory"" and ""horse(s) in the Indus Valley""",1998,Texts and philology,philological discussion,20,12,19,110,threads/182-010366-indus-script-aryan-invasion-theory-and-horse-s-in-the-indus-valley.html,https://list.indology.info/pipermail/indology/1998-January/010366.html,long thread; multi-author; resolved replies
183,040658,candidate,,,,general discussion,,Examples of very ambiguous devanagari Sanskrit sentences,,,,,,Examples of very ambiguous devanagari Sanskrit sentences,2015,General scholarly discussion,general discussion,23,13,22,110,threads/183-040658-examples-of-very-ambiguous-devanagari-sanskrit-sentences.html,https://list.indology.info/pipermail/indology/2015-February/040658.html,long thread; multi-author; resolved replies
184,056183,candidate,,,,general discussion,,Google Translate for Sanskrit,,,,,,Google Translate for Sanskrit,2022,General scholarly discussion,general discussion,21,15,20,110,threads/184-056183-google-translate-for-sanskrit.html,https://list.indology.info/pipermail/indology/2022-May/056183.html,long thread; multi-author; resolved replies
185,051639,candidate,,,,general discussion,,Vajrasūcī,,,,,,Vajrasūcī,2020,General scholarly discussion,general discussion,25,11,24,110,threads/185-051639-vajras-c.html,https://list.indology.info/pipermail/indology/2020-January/051639.html,long thread; multi-author; resolved replies
186,059505,candidate,,philological_substance,topic=Bibliographic requests,identification/help request,,Request for help - materiality of texts and textual production,,,,,,Request for help - materiality of texts and textual production,2024,Bibliographic requests,identification/help request,17,15,16,110,threads/186-059505-request-for-help-materiality-of-texts-and-textual-production.html,https://list.indology.info/pipermail/indology/2024-August/059505.html,long thread; multi-author; resolved replies; request/help language
187,022865,candidate,,,,general discussion,,Rajaram unrepentent!,,,,,,Rajaram unrepentent!,2000,General scholarly discussion,general discussion,18,11,17,109,threads/187-022865-rajaram-unrepentent.html,https://list.indology.info/pipermail/indology/2000-September/022865.html,long thread; multi-author; resolved replies; request/help language
