slug,year,month,month_name,message_count_index,message_count_mbox,gzip_kb_index,thread_url,date_url,gzip_url
2019-November,2019,11,November,167,167,112,https://list.indology.info/pipermail/indology/2019-November/thread.html,https://list.indology.info/pipermail/indology/2019-November/date.html,https://list.indology.info/pipermail/indology/2019-November.txt.gz
2019-December,2019,12,December,130,130,74,https://list.indology.info/pipermail/indology/2019-December/thread.html,https://list.indology.info/pipermail/indology/2019-December/date.html,https://list.indology.info/pipermail/indology/2019-December.txt.gz
2020-January,2020,1,January,176,176,154,https://list.indology.info/pipermail/indology/2020-January/thread.html,https://list.indology.info/pipermail/indology/2020-January/date.html,https://list.indology.info/pipermail/indology/2020-January.txt.gz
2020-February,2020,2,February,109,109,62,https://list.indology.info/pipermail/indology/2020-February/thread.html,https://list.indology.info/pipermail/indology/2020-February/date.html,https://list.indology.info/pipermail/indology/2020-February.txt.gz
2020-March,2020,3,March,283,283,186,https://list.indology.info/pipermail/indology/2020-March/thread.html,https://list.indology.info/pipermail/indology/2020-March/date.html,https://list.indology.info/pipermail/indology/2020-March.txt.gz
2020-April,2020,4,April,364,364,208,https://list.indology.info/pipermail/indology/2020-April/thread.html,https://list.indology.info/pipermail/indology/2020-April/date.html,https://list.indology.info/pipermail/indology/2020-April.txt.gz
2020-May,2020,5,May,239,239,127,https://list.indology.info/pipermail/indology/2020-May/thread.html,https://list.indology.info/pipermail/indology/2020-May/date.html,https://list.indology.info/pipermail/indology/2020-May.txt.gz
2020-June,2020,6,June,181,181,110,https://list.indology.info/pipermail/indology/2020-June/thread.html,https://list.indology.info/pipermail/indology/2020-June/date.html,https://list.indology.info/pipermail/indology/2020-June.txt.gz
2020-July,2020,7,July,213,213,113,https://list.indology.info/pipermail/indology/2020-July/thread.html,https://list.indology.info/pipermail/indology/2020-July/date.html,https://list.indology.info/pipermail/indology/2020-July.txt.gz
2020-August,2020,8,August,170,170,81,https://list.indology.info/pipermail/indology/2020-August/thread.html,https://list.indology.info/pipermail/indology/2020-August/date.html,https://list.indology.info/pipermail/indology/2020-August.txt.gz
2020-September,2020,9,September,169,169,116,https://list.indology.info/pipermail/indology/2020-September/thread.html,https://list.indology.info/pipermail/indology/2020-September/date.html,https://list.indology.info/pipermail/indology/2020-September.txt.gz
2020-October,2020,10,October,160,160,108,https://list.indology.info/pipermail/indology/2020-October/thread.html,https://list.indology.info/pipermail/indology/2020-October/date.html,https://list.indology.info/pipermail/indology/2020-October.txt.gz
2020-November,2020,11,November,218,218,153,https://list.indology.info/pipermail/indology/2020-November/thread.html,https://list.indology.info/pipermail/indology/2020-November/date.html,https://list.indology.info/pipermail/indology/2020-November.txt.gz
2020-December,2020,12,December,81,81,47,https://list.indology.info/pipermail/indology/2020-December/thread.html,https://list.indology.info/pipermail/indology/2020-December/date.html,https://list.indology.info/pipermail/indology/2020-December.txt.gz
2021-January,2021,1,January,165,165,116,https://list.indology.info/pipermail/indology/2021-January/thread.html,https://list.indology.info/pipermail/indology/2021-January/date.html,https://list.indology.info/pipermail/indology/2021-January.txt.gz
2021-February,2021,2,February,168,168,136,https://list.indology.info/pipermail/indology/2021-February/thread.html,https://list.indology.info/pipermail/indology/2021-February/date.html,https://list.indology.info/pipermail/indology/2021-February.txt.gz
2021-March,2021,3,March,151,151,129,https://list.indology.info/pipermail/indology/2021-March/thread.html,https://list.indology.info/pipermail/indology/2021-March/date.html,https://list.indology.info/pipermail/indology/2021-March.txt.gz
2021-April,2021,4,April,145,145,79,https://list.indology.info/pipermail/indology/2021-April/thread.html,https://list.indology.info/pipermail/indology/2021-April/date.html,https://list.indology.info/pipermail/indology/2021-April.txt.gz
2021-May,2021,5,May,214,214,177,https://list.indology.info/pipermail/indology/2021-May/thread.html,https://list.indology.info/pipermail/indology/2021-May/date.html,https://list.indology.info/pipermail/indology/2021-May.txt.gz
2021-June,2021,6,June,129,129,98,https://list.indology.info/pipermail/indology/2021-June/thread.html,https://list.indology.info/pipermail/indology/2021-June/date.html,https://list.indology.info/pipermail/indology/2021-June.txt.gz
2021-July,2021,7,July,99,99,63,https://list.indology.info/pipermail/indology/2021-July/thread.html,https://list.indology.info/pipermail/indology/2021-July/date.html,https://list.indology.info/pipermail/indology/2021-July.txt.gz
2021-August,2021,8,August,86,86,56,https://list.indology.info/pipermail/indology/2021-August/thread.html,https://list.indology.info/pipermail/indology/2021-August/date.html,https://list.indology.info/pipermail/indology/2021-August.txt.gz
2021-September,2021,9,September,166,166,154,https://list.indology.info/pipermail/indology/2021-September/thread.html,https://list.indology.info/pipermail/indology/2021-September/date.html,https://list.indology.info/pipermail/indology/2021-September.txt.gz
2021-October,2021,10,October,110,110,65,https://list.indology.info/pipermail/indology/2021-October/thread.html,https://list.indology.info/pipermail/indology/2021-October/date.html,https://list.indology.info/pipermail/indology/2021-October.txt.gz
2021-November,2021,11,November,107,107,73,https://list.indology.info/pipermail/indology/2021-November/thread.html,https://list.indology.info/pipermail/indology/2021-November/date.html,https://list.indology.info/pipermail/indology/2021-November.txt.gz
2021-December,2021,12,December,92,92,52,https://list.indology.info/pipermail/indology/2021-December/thread.html,https://list.indology.info/pipermail/indology/2021-December/date.html,https://list.indology.info/pipermail/indology/2021-December.txt.gz
2022-January,2022,1,January,142,142,91,https://list.indology.info/pipermail/indology/2022-January/thread.html,https://list.indology.info/pipermail/indology/2022-January/date.html,https://list.indology.info/pipermail/indology/2022-January.txt.gz
2022-February,2022,2,February,120,120,87,https://list.indology.info/pipermail/indology/2022-February/thread.html,https://list.indology.info/pipermail/indology/2022-February/date.html,https://list.indology.info/pipermail/indology/2022-February.txt.gz
2022-March,2022,3,March,132,132,97,https://list.indology.info/pipermail/indology/2022-March/thread.html,https://list.indology.info/pipermail/indology/2022-March/date.html,https://list.indology.info/pipermail/indology/2022-March.txt.gz
2022-April,2022,4,April,143,143,93,https://list.indology.info/pipermail/indology/2022-April/thread.html,https://list.indology.info/pipermail/indology/2022-April/date.html,https://list.indology.info/pipermail/indology/2022-April.txt.gz
2022-May,2022,5,May,140,140,85,https://list.indology.info/pipermail/indology/2022-May/thread.html,https://list.indology.info/pipermail/indology/2022-May/date.html,https://list.indology.info/pipermail/indology/2022-May.txt.gz
2022-June,2022,6,June,122,122,106,https://list.indology.info/pipermail/indology/2022-June/thread.html,https://list.indology.info/pipermail/indology/2022-June/date.html,https://list.indology.info/pipermail/indology/2022-June.txt.gz
2022-July,2022,7,July,161,161,92,https://list.indology.info/pipermail/indology/2022-July/thread.html,https://list.indology.info/pipermail/indology/2022-July/date.html,https://list.indology.info/pipermail/indology/2022-July.txt.gz
2022-August,2022,8,August,143,143,81,https://list.indology.info/pipermail/indology/2022-August/thread.html,https://list.indology.info/pipermail/indology/2022-August/date.html,https://list.indology.info/pipermail/indology/2022-August.txt.gz
2022-September,2022,9,September,112,112,73,https://list.indology.info/pipermail/indology/2022-September/thread.html,https://list.indology.info/pipermail/indology/2022-September/date.html,https://list.indology.info/pipermail/indology/2022-September.txt.gz
2022-October,2022,10,October,87,87,59,https://list.indology.info/pipermail/indology/2022-October/thread.html,https://list.indology.info/pipermail/indology/2022-October/date.html,https://list.indology.info/pipermail/indology/2022-October.txt.gz
2022-November,2022,11,November,92,92,64,https://list.indology.info/pipermail/indology/2022-November/thread.html,https://list.indology.info/pipermail/indology/2022-November/date.html,https://list.indology.info/pipermail/indology/2022-November.txt.gz
2022-December,2022,12,December,138,138,103,https://list.indology.info/pipermail/indology/2022-December/thread.html,https://list.indology.info/pipermail/indology/2022-December/date.html,https://list.indology.info/pipermail/indology/2022-December.txt.gz
2023-January,2023,1,January,106,106,86,https://list.indology.info/pipermail/indology/2023-January/thread.html,https://list.indology.info/pipermail/indology/2023-January/date.html,https://list.indology.info/pipermail/indology/2023-January.txt.gz
2023-February,2023,2,February,97,97,120,https://list.indology.info/pipermail/indology/2023-February/thread.html,https://list.indology.info/pipermail/indology/2023-February/date.html,https://list.indology.info/pipermail/indology/2023-February.txt.gz
2023-March,2023,3,March,141,141,108,https://list.indology.info/pipermail/indology/2023-March/thread.html,https://list.indology.info/pipermail/indology/2023-March/date.html,https://list.indology.info/pipermail/indology/2023-March.txt.gz
2023-April,2023,4,April,173,173,103,https://list.indology.info/pipermail/indology/2023-April/thread.html,https://list.indology.info/pipermail/indology/2023-April/date.html,https://list.indology.info/pipermail/indology/2023-April.txt.gz
2023-May,2023,5,May,108,108,73,https://list.indology.info/pipermail/indology/2023-May/thread.html,https://list.indology.info/pipermail/indology/2023-May/date.html,https://list.indology.info/pipermail/indology/2023-May.txt.gz
2023-June,2023,6,June,77,77,54,https://list.indology.info/pipermail/indology/2023-June/thread.html,https://list.indology.info/pipermail/indology/2023-June/date.html,https://list.indology.info/pipermail/indology/2023-June.txt.gz
2023-July,2023,7,July,135,135,104,https://list.indology.info/pipermail/indology/2023-July/thread.html,https://list.indology.info/pipermail/indology/2023-July/date.html,https://list.indology.info/pipermail/indology/2023-July.txt.gz
2023-August,2023,8,August,138,140,75,https://list.indology.info/pipermail/indology/2023-August/thread.html,https://list.indology.info/pipermail/indology/2023-August/date.html,https://list.indology.info/pipermail/indology/2023-August.txt.gz
2023-September,2023,9,September,101,101,81,https://list.indology.info/pipermail/indology/2023-September/thread.html,https://list.indology.info/pipermail/indology/2023-September/date.html,https://list.indology.info/pipermail/indology/2023-September.txt.gz
2023-October,2023,10,October,148,148,96,https://list.indology.info/pipermail/indology/2023-October/thread.html,https://list.indology.info/pipermail/indology/2023-October/date.html,https://list.indology.info/pipermail/indology/2023-October.txt.gz
2023-November,2023,11,November,111,111,76,https://list.indology.info/pipermail/indology/2023-November/thread.html,https://list.indology.info/pipermail/indology/2023-November/date.html,https://list.indology.info/pipermail/indology/2023-November.txt.gz
2023-December,2023,12,December,90,90,61,https://list.indology.info/pipermail/indology/2023-December/thread.html,https://list.indology.info/pipermail/indology/2023-December/date.html,https://list.indology.info/pipermail/indology/2023-December.txt.gz
2024-January,2024,1,January,89,89,62,https://list.indology.info/pipermail/indology/2024-January/thread.html,https://list.indology.info/pipermail/indology/2024-January/date.html,https://list.indology.info/pipermail/indology/2024-January.txt.gz
2024-February,2024,2,February,138,138,422,https://list.indology.info/pipermail/indology/2024-February/thread.html,https://list.indology.info/pipermail/indology/2024-February/date.html,https://list.indology.info/pipermail/indology/2024-February.txt.gz
2024-March,2024,3,March,163,163,113,https://list.indology.info/pipermail/indology/2024-March/thread.html,https://list.indology.info/pipermail/indology/2024-March/date.html,https://list.indology.info/pipermail/indology/2024-March.txt.gz
2024-April,2024,4,April,129,130,835,https://list.indology.info/pipermail/indology/2024-April/thread.html,https://list.indology.info/pipermail/indology/2024-April/date.html,https://list.indology.info/pipermail/indology/2024-April.txt.gz
2024-May,2024,5,May,133,133,86,https://list.indology.info/pipermail/indology/2024-May/thread.html,https://list.indology.info/pipermail/indology/2024-May/date.html,https://list.indology.info/pipermail/indology/2024-May.txt.gz
