source_author,target_author,confidence,weight
"Tieken, H.J.H.",Sudalaimuthu Palaniappan,exact_in_reply_to,9
Mrinal Kaul,Mrinal Kaul,thread_inferred,9
Mrinal Kaul,Mrinal Kaul,exact_in_reply_to,9
Harry Spier,Matthew Kapstein,exact_in_reply_to,9
Jonathan Silk,Matthew Kapstein,exact_in_reply_to,9
N. Ganesan,Ramakrishnan Balasubramanian,thread_inferred,9
Miguel Carrasquer Vidal,Sn. Subrahmanya,thread_inferred,9
Dominic Goodall,Dominic Goodall,thread_inferred,9
Elliot Stern,Madhav Deshpande,exact_in_reply_to,9
Stephen Hodge,Jonathan Silk,thread_inferred,9
Dominik Wujastyk,Martin Gansten,thread_inferred,9
Narayan S. Raja,Narayan S. Raja,thread_inferred,9
Bijoy Misra,Bijoy Misra,thread_inferred,9
Elliot Stern,Matthew Kapstein,exact_in_reply_to,9
Dominik Wujastyk,Stella Sandahl,thread_inferred,9
Vishal Agarwal,nanda chandran,thread_inferred,9
Jan Kučera,Harry Spier,exact_in_reply_to,9
Madhav Deshpande,Jonathan Silk,thread_inferred,9
N. Ganesan,Vidyasankar Sundaresan,thread_inferred,9
Rajarshi Banerjee,N. Ganesan,thread_inferred,9
Vishal Agarwal,N. Ganesan,thread_inferred,9
George Hart,Nagaraj Paturi,exact_in_reply_to,9
Paul Kekai Manansala,Edwin Bryant,thread_inferred,9
S Krishna,N. Ganesan,thread_inferred,9
RAJAGOPALANM at HARPO.TNSTATE.EDU,RAJAGOPALANM at HARPO.TNSTATE.EDU,thread_inferred,9
Koenraad Elst,Steve Farmer,thread_inferred,9
Edwin Bryant,Edwin Bryant,thread_inferred,9
soni at staff.uni-marburg.de,soni at staff.uni-marburg.de,exact_in_reply_to,9
Madhav Deshpande,N. Ganesan,thread_inferred,9
rajam,"Tieken, H.J.H.",exact_in_reply_to,9
L.S.Cousins,Swaminathan Madhuresan,thread_inferred,9
Dipak Bhattacharya,Dipak Bhattacharya,exact_in_reply_to,9
Vidyasankar Sundaresan,Satya Upadhya,thread_inferred,9
Birgit Kellner,Birgit Kellner,thread_inferred,9
Peter Wyzlic,Dominik Wujastyk,thread_inferred,9
Dominik Wujastyk,patrick mccartney,exact_in_reply_to,9
Vidyasankar Sundaresan,Robert Zydenbos,thread_inferred,9
nanda chandran,Steve Farmer,thread_inferred,9
Paul Kekai Manansala,Ashish Chandra,thread_inferred,9
mkapstei at UCHICAGO.EDU,mkapstei at UCHICAGO.EDU,thread_inferred,9
Lubomír Ondračka,Dominik Wujastyk,exact_in_reply_to,9
Matthew Kapstein,patrick mccartney,exact_in_reply_to,9
Patrick Olivelle,Madhav Deshpande,exact_in_reply_to,9
Rohana Seneviratne,Rohana Seneviratne,exact_in_reply_to,9
Jean-Luc Chevillard,George Hart,thread_inferred,9
David and Nancy Reigle,Dominik Wujastyk,exact_in_reply_to,9
Madhav Deshpande,Nagaraj Paturi,exact_in_reply_to,9
Matthew Kapstein,Artur Karp,exact_in_reply_to,9
jhakgirish,jhakgirish,thread_inferred,9
David and Nancy Reigle,Jonathan Silk,exact_in_reply_to,9
Venkatraman Iyer,Steve Farmer,thread_inferred,9
Matthew Kapstein,Nagaraj Paturi,exact_in_reply_to,9
Jonathan Silk,David and Nancy Reigle,exact_in_reply_to,9
Andrew Ollett,Madhav Deshpande,exact_in_reply_to,9
Allen W Thrasher,Dipak Bhattacharya,thread_inferred,9
Lars Martin Fosse,Vidhyanath Rao,thread_inferred,9
Vanbakkam Vijayaraghavan,Bjarte Kaldhol,thread_inferred,9
Madhav Deshpande,"Uskokov, Aleksandar",exact_in_reply_to,9
Dominik Wujastyk,"Lubin, Tim",exact_in_reply_to,9
Madhav Deshpande,"Lubin, Tim",exact_in_reply_to,9
Artur Karp,N. Ganesan,thread_inferred,9
C.R. Selvakumar,N. Ganesan,thread_inferred,9
Birgit Kellner,Jonathan Silk,thread_inferred,9
Robert Zydenbos,Nagaraj Paturi,exact_in_reply_to,9
Swaminathan Madhuresan,Michael Witzel,thread_inferred,9
Roland Steiner,Matthew Kapstein,exact_in_reply_to,9
thompson at jlc.net,Palaniappa at aol.com,thread_inferred,9
N. Ganesan,Artur Karp,thread_inferred,8
Robert Zydenbos,Venkatraman Iyer,thread_inferred,8
RM. Krishnan,N. Ganesan,thread_inferred,8
Nagaraj Paturi,Dominik Wujastyk,thread_inferred,8
Georg von Simson,Dominique.Thillaud,thread_inferred,8
Dipak Bhattacharya,patrick mccartney,exact_in_reply_to,8
Girish Beeharry,Girish Beeharry,thread_inferred,8
Martin Gansten,Madhav Deshpande,exact_in_reply_to,8
Sumedh Mungee,Partha Banerjee,thread_inferred,8
Nagaraj Paturi,Camillo Formigatti,exact_in_reply_to,8
Birgit Kellner,Dominik Wujastyk,thread_inferred,8
Martin Gansten,Walter Slaje,exact_in_reply_to,8
Dan Lusthaus,Dan Lusthaus,thread_inferred,8
Jan E.M. Houben,Dominik Wujastyk,thread_inferred,8
Michael Witzel,Vishal Agarwal,thread_inferred,8
Nagaraj Paturi,Krishnaprasad G,exact_in_reply_to,8
Vidhyanath Rao,Vidyasankar Sundaresan,thread_inferred,8
Christian Ferstl,Christian Ferstl,exact_in_reply_to,8
Sudalaimuthu Palaniappan,Ramakrishnan Balasubramanian,thread_inferred,8
Allen W Thrasher,Madhav Deshpande,thread_inferred,8
Lubomír Ondračka,Harry Spier,exact_in_reply_to,8
Narayan S. Raja,Harry Spier,thread_inferred,8
Matthew Kapstein,Dan Lusthaus,exact_in_reply_to,8
winnie fellows,winnie,thread_inferred,8
Valerie J Roebuck,Valerie J Roebuck,thread_inferred,8
Girish Jha,Girish Jha,exact_in_reply_to,8
Nagaraj Paturi,Asko Parpola,exact_in_reply_to,8
Stefan Baums,Stefan Baums,thread_inferred,8
Vidyasankar Sundaresan,Palaniappa at aol.com,thread_inferred,8
Lars Martin Fosse,Stefan Baums,thread_inferred,8
thompson at jlc.net,Luis Gonzalez-Reimann,thread_inferred,8
Dipak Bhattacharya,Allen W Thrasher,thread_inferred,8
Michael Witzel,George Thompson,thread_inferred,8
DEVARAKONDA VENKATA NARAYANA SARMA,Vidyasankar Sundaresan,thread_inferred,8
Dean Michael Anderson,Dean Michael Anderson,thread_inferred,8
Harsha Dehejia,Harsha Dehejia,thread_inferred,8
Harry Spier,Jan Kučera,exact_in_reply_to,8
Madhav Deshpande,Antonia Ruppel,exact_in_reply_to,8
Raveen Satkurunathan,N. Ganesan,thread_inferred,8
Dominik Wujastyk,Swaminathan Madhuresan,thread_inferred,8
Nagaraj Paturi,Paolo Eugenio Rosati,thread_inferred,8
Ashish Chandra,Edwin Bryant,thread_inferred,8
Anand M. Sharan,Luis Gonzalez-Reimann,thread_inferred,8
Dipak Bhattacharya,Artur Karp,exact_in_reply_to,8
Arun Gupta,V.V. Raman,thread_inferred,8
mrabe at artic.edu,Dominik Wujastyk,thread_inferred,8
Paul Kekai Manansala,Vidyasankar Sundaresan,thread_inferred,8
Allen W Thrasher,Ashok Aklujkar,thread_inferred,8
Dominik Wujastyk,jkirk,thread_inferred,8
Balaji Hebbar,nanda chandran,thread_inferred,8
Valerie J Roebuck,N. Ganesan,thread_inferred,8
N. Ganesan,Steve Farmer,thread_inferred,8
