domain,priority,source_file,source_row,record_id,label,status,reason,evidence_url,reviewer,checked_at,note
author_normalization,high,data/processed/authors_needing_review.csv,107,indology-author-aabc5a5c81,joe at sfbooks.com,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
author_normalization,high,data/processed/authors_needing_review.csv,108,indology-author-e0a865768f,Johannes.Bronkhorst at orient.unil.ch,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
author_normalization,high,data/processed/authors_needing_review.csv,109,indology-author-5fe2119a3b,ZYSK at EDU.NYU.ACFCLUSTER,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
author_normalization,high,data/processed/authors_needing_review.csv,110,indology-author-b858232a1b,dean_anderson at SACARI.ORG,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
author_normalization,high,data/processed/authors_needing_review.csv,111,indology-author-223707613a,falk at zedat.fu-berlin.de,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
author_normalization,high,data/processed/authors_needing_review.csv,112,indology-author-5b9dbc0b19,Aklujkar,needs_review,short or single-token display name; retained without merge,,,,
author_normalization,high,data/processed/authors_needing_review.csv,113,indology-author-3612ab7d02,JN,needs_review,short or single-token display name; retained without merge,,,,
author_normalization,high,data/processed/authors_needing_review.csv,114,indology-author-f16db37b37,Jibunnessa,needs_review,short or single-token display name; retained without merge,,,,
author_normalization,high,data/processed/authors_needing_review.csv,115,indology-author-1574bef135,Kumar at pixie.udw.ac.za,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
author_normalization,high,data/processed/authors_needing_review.csv,116,indology-author-453014843d,RM.Krishnan,needs_review,short or single-token display name; retained without merge,,,,
author_normalization,high,data/processed/authors_needing_review.csv,117,indology-author-a87f0793a8,aditya at icanect.net,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
author_normalization,high,data/processed/authors_needing_review.csv,118,indology-author-0587c48d6d,unknown at example.com,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
author_normalization,high,data/processed/authors_needing_review.csv,119,indology-author-ee2ec40ea0,vincent.tournier at lmu.de,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
author_normalization,high,data/processed/authors_needing_review.csv,120,indology-author-3d1e47bc83,Francois.Voegeli at orient.unil.ch,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
author_normalization,high,data/processed/authors_needing_review.csv,121,indology-author-656e0053bd,dplukker at inter.NL.net,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
author_normalization,high,data/processed/authors_needing_review.csv,122,indology-author-5b87cc3730,gthomgt at COMCAST.NET,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
author_normalization,high,data/processed/authors_needing_review.csv,123,indology-author-9cc264b0be,mail07464 at pop.net,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
author_normalization,high,data/processed/authors_needing_review.csv,124,indology-author-b8b9814114,marcus.banks at anthropology.oxford.ac.uk,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
author_normalization,high,data/processed/authors_needing_review.csv,125,indology-author-d7cff99c94,pwyzlic,needs_review,short or single-token display name; retained without merge,,,,
author_normalization,high,data/processed/authors_needing_review.csv,126,indology-author-e5315e92c7,"GHOSE,LYNKEN,MR",needs_review,short or single-token display name; retained without merge,,,,
author_normalization,high,data/processed/authors_needing_review.csv,127,indology-author-f9979a77c6,J.Napier,needs_review,short or single-token display name; retained without merge,,,,
author_normalization,high,data/processed/authors_needing_review.csv,128,indology-author-0791962db3,L.M.Fosse at internet.no,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
author_normalization,high,data/processed/authors_needing_review.csv,129,indology-author-00ac08973f,P.Magnone at agora.stm.it,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
author_normalization,high,data/processed/authors_needing_review.csv,130,indology-author-095bf215e2,Ramadas,needs_review,short or single-token display name; retained without merge,,,,
author_normalization,high,data/processed/authors_needing_review.csv,131,indology-author-5be9ca40bd,Rosati,needs_review,short or single-token display name; retained without merge,,,,
author_normalization,high,data/processed/authors_needing_review.csv,132,indology-author-5d8a25c544,breusch at students.wisc.edu,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
author_normalization,high,data/processed/authors_needing_review.csv,133,indology-author-08a0ae77e1,dmenon at pacific.net.sg,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
author_normalization,high,data/processed/authors_needing_review.csv,134,indology-author-2982780f55,rcohen at sas.upenn.edu,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
author_normalization,high,data/processed/authors_needing_review.csv,135,indology-author-12715960ca,ARB,needs_review,short or single-token display name; retained without merge,,,,
author_normalization,high,data/processed/authors_needing_review.csv,136,indology-author-8a59e80fdb,Asko.Parpola at Helsinki.FI,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
author_normalization,high,data/processed/authors_needing_review.csv,137,indology-author-53787fca16,Claude_Setzer at fcsmtp.mum.edu,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
author_normalization,high,data/processed/authors_needing_review.csv,138,indology-author-51bd95353a,HR,needs_review,short or single-token display name; retained without merge,,,,
author_normalization,high,data/processed/authors_needing_review.csv,139,indology-author-c016f85c06,Himanshu,needs_review,short or single-token display name; retained without merge,,,,
author_normalization,high,data/processed/authors_needing_review.csv,140,indology-author-a957843066,R.W.Perrett at massey.ac.nz,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
author_normalization,high,data/processed/authors_needing_review.csv,141,indology-author-c1b8e03e4f,edbryant at rci.rutgers.edu,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
author_normalization,high,data/processed/authors_needing_review.csv,142,indology-author-d82df4ae0a,girish at mushika.wanet.com,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
