confidence,matched_field,matched_field_text,matched_term,presentation_id,public_path,renou_axis,renou_code,renou_label,rule_id,series,source_url,title,year
title_tag_pattern,title,,Панини,PRES_5b0c00b805,p/tekhnicheskie-prisposobleniya-dlya-rubrikatsii-kornei-v-dkhatupatkhe-panini.html,state,II,Pāṇinian,state_II,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=1251&option=com_content&task=view,Технические приспособления для рубрикации корней в «Дхатупатхе» Панини,2006
title_tag_pattern,title,,Панини,PRES_5b0c00b805,p/tekhnicheskie-prisposobleniya-dlya-rubrikatsii-kornei-v-dkhatupatkhe-panini.html,register,vyakarana,Vyākaraṇa,register_vyakarana,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=1251&option=com_content&task=view,Технические приспособления для рубрикации корней в «Дхатупатхе» Панини,2006
title_tag_pattern,tag,Literature & Poetry,Poetry,PRES_60da65c55e,p/bezymyannyi-geroi-o-romanakh-khazariprasada-dvivedi.html,state,IV,Classical,state_IV,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=1251&option=com_content&task=view,Безымянный герой (о романах Хазарипрасада Двиведи),2006
title_tag_pattern,tag,Literature & Poetry,Poetry,PRES_60da65c55e,p/bezymyannyi-geroi-o-romanakh-khazariprasada-dvivedi.html,register,kavya,Kāvya,register_kavya,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=1251&option=com_content&task=view,Безымянный герой (о романах Хазарипрасада Двиведи),2006
title_tag_pattern,title,,пуран,PRES_748beb327e,p/mesto-devibkhagavata-purany-v-protsesse-evolyutsii-shaktizma.html,state,III,Epic & prolongements,state_III,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=1251&option=com_content&task=view,Место «Девибхагавата-пураны» в процессе эволюции шактизма,2006
title_tag_pattern,title,,пуран,PRES_748beb327e,p/mesto-devibkhagavata-purany-v-protsesse-evolyutsii-shaktizma.html,register,purana,Purāṇa,register_purana,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=1251&option=com_content&task=view,Место «Девибхагавата-пураны» в процессе эволюции шактизма,2006
title_tag_pattern,title,,будд,PRES_77b298a44b,p/izobrazhenie-i-tekst-drevneindiiskie-relefy-i-buddiiskie-verbalnye-teksty.html,state,V,Buddhist / Jaina,state_V,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=1251&option=com_content&task=view,Изображение и текст: древнеиндийские рельефы и буддийские вербальные тексты,2006
title_tag_pattern,title,,будд,PRES_77b298a44b,p/izobrazhenie-i-tekst-drevneindiiskie-relefy-i-buddiiskie-verbalnye-teksty.html,register,bauddha,Bauddha,register_bauddha,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=1251&option=com_content&task=view,Изображение и текст: древнеиндийские рельефы и буддийские вербальные тексты,2006
title_tag_pattern,tag,Literature & Poetry,Poetry,PRES_aa8c66a571,p/dau-v-da-s-t-o-perevodakh-biblii-na-sanskrit-v-programme-vozmozhny-izmeneniya-i-dopolneniya.html,state,IV,Classical,state_IV,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=1251&option=com_content&task=view,«Ādau vāda āsīt»: о переводах Библии на санскрит. В программе возможны изменения и дополнения,2006
title_tag_pattern,tag,Literature & Poetry,Poetry,PRES_aa8c66a571,p/dau-v-da-s-t-o-perevodakh-biblii-na-sanskrit-v-programme-vozmozhny-izmeneniya-i-dopolneniya.html,register,kavya,Kāvya,register_kavya,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=1251&option=com_content&task=view,«Ādau vāda āsīt»: о переводах Библии на санскрит. В программе возможны изменения и дополнения,2006
