entity_type,entity_id,display_name,field_name,field_value,source_type,source_url,confidence,checked_at,notes
person,PERS_dd7de77e,Бросалина Елена Кирилловна,death_year,2020,curated_biographical_data,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=80&option=com_content&task=view,manual,2026-05-30,Loaded into person table during DB build.
person,PERS_7efcddc6,Брылёва Наталья Анатольевна,full_name_ru,Брылёва Наталья Анатольевна,curated_biographical_data,https://ancient.ivran.ru/novosti?year=2024,confirmed,2026-05-30,Loaded into person table during DB build.
person,PERS_7efcddc6,Брылёва Наталья Анатольевна,full_name_en,Natalya Bryleva,curated_biographical_data,https://ancient.ivran.ru/novosti?year=2024,confirmed,2026-05-30,Loaded into person table during DB build.
person,PERS_7efcddc6,Брылёва Наталья Анатольевна,birth_year,1981,curated_biographical_data,https://ancient.ivran.ru/novosti?year=2024,manual,2026-05-30,Loaded into person table during DB build.
person,PERS_a0264ac5,Бурмистров Сергей Леонидович,full_name_ru,Бурмистров Сергей Леонидович,curated_biographical_data,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=3296&option=com_content&task=view,confirmed,2026-05-30,Loaded into person table during DB build.
person,PERS_a0264ac5,Бурмистров Сергей Леонидович,full_name_en,Burmistrov Sergey Leonidovich,curated_biographical_data,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=3296&option=com_content&task=view,confirmed,2026-05-30,Loaded into person table during DB build.
person,PERS_a0264ac5,Бурмистров Сергей Леонидович,birth_year,1970,curated_biographical_data,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=3296&option=com_content&task=view,manual,2026-05-30,Loaded into person table during DB build.
person,PERS_30b54681,Бушуев Евгений Сергеевич,full_name_ru,Бушуев Евгений Сергеевич,curated_biographical_data,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=2306&option=com_content&task=view,confirmed,2026-05-30,Loaded into person table during DB build.
person,PERS_30b54681,Бушуев Евгений Сергеевич,full_name_en,Evgeny Bushuev,curated_biographical_data,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=2306&option=com_content&task=view,confirmed,2026-05-30,Loaded into person table during DB build.
person,PERS_30b54681,Бушуев Евгений Сергеевич,birth_year,1988,curated_biographical_data,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=2306&option=com_content&task=view,manual,2026-05-30,Loaded into person table during DB build.
person,PERS_f7c7adc7,В. В. Донских,full_name_ru,В. В. Донских,curated_biographical_data,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=4023&option=com_content&task=view,confirmed,2026-05-30,Loaded into person table during DB build.
person,PERS_325e94f3,В. В. Котин,full_name_ru,В. В. Котин,curated_biographical_data,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=5510&option=com_content&task=view,confirmed,2026-05-30,Loaded into person table during DB build.
person,PERS_40375fef,Васильев Алексей Константинович,full_name_ru,Васильев Алексей Константинович,curated_biographical_data,https://ancient.ivran.ru/novosti?year=2012,confirmed,2026-05-30,Loaded into person table during DB build.
person,PERS_40375fef,Васильев Алексей Константинович,full_name_en,Vasiliev Alexey Konstantinovich,curated_biographical_data,https://ancient.ivran.ru/novosti?year=2012,confirmed,2026-05-30,Loaded into person table during DB build.
person,PERS_40375fef,Васильев Алексей Константинович,birth_year,1978,curated_biographical_data,https://ancient.ivran.ru/novosti?year=2012,manual,2026-05-30,Loaded into person table during DB build.
person,PERS_829c1de5,Васильков Ярослав Владимирович,full_name_ru,Васильков Ярослав Владимирович,curated_biographical_data,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=80&option=com_content&task=view,confirmed,2026-05-30,Loaded into person table during DB build.
person,PERS_829c1de5,Васильков Ярослав Владимирович,full_name_en,Vasilkov Yaroslav Vladimirovich,curated_biographical_data,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=80&option=com_content&task=view,confirmed,2026-05-30,Loaded into person table during DB build.
person,PERS_829c1de5,Васильков Ярослав Владимирович,birth_year,1943,curated_biographical_data,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=80&option=com_content&task=view,manual,2026-05-30,Loaded into person table during DB build.
person,PERS_2c9b38ec,Ватман Семён Викторович,full_name_ru,Ватман Семён Викторович,curated_biographical_data,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=1791&option=com_content&task=view,confirmed,2026-05-30,Loaded into person table during DB build.
person,PERS_2c9b38ec,Ватман Семён Викторович,full_name_en,Semyon Vatman,curated_biographical_data,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=1791&option=com_content&task=view,confirmed,2026-05-30,Loaded into person table during DB build.
person,PERS_2c9b38ec,Ватман Семён Викторович,birth_year,1959,curated_biographical_data,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=1791&option=com_content&task=view,manual,2026-05-30,Loaded into person table during DB build.
person,PERS_23f54085,Введенская Эльвира Игоревна,full_name_ru,Введенская Эльвира Игоревна,curated_biographical_data,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=10154&option=com_content&task=view,confirmed,2026-05-30,Loaded into person table during DB build.
person,PERS_23f54085,Введенская Эльвира Игоревна,full_name_en,Elvira Vvedenskaya,curated_biographical_data,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=10154&option=com_content&task=view,confirmed,2026-05-30,Loaded into person table during DB build.
person,PERS_23f54085,Введенская Эльвира Игоревна,birth_year,1991,curated_biographical_data,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=10154&option=com_content&task=view,manual,2026-05-30,Loaded into person table during DB build.
person,PERS_5228da95,Вертоградова Виктория Викторовна,full_name_ru,Вертоградова Виктория Викторовна,curated_biographical_data,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=1251&option=com_content&task=view,confirmed,2026-05-30,Loaded into person table during DB build.
person,PERS_5228da95,Вертоградова Виктория Викторовна,full_name_en,Vertogradova Victoria Viktorovna,curated_biographical_data,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=1251&option=com_content&task=view,confirmed,2026-05-30,Loaded into person table during DB build.
person,PERS_5228da95,Вертоградова Виктория Викторовна,birth_year,1933,curated_biographical_data,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=1251&option=com_content&task=view,manual,2026-05-30,Loaded into person table during DB build.
person,PERS_e31ca12d,Вечерина Ольга Павловна,full_name_ru,Вечерина Ольга Павловна,curated_biographical_data,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=3663&option=com_content&task=view,confirmed,2026-05-30,Loaded into person table during DB build.
person,PERS_e31ca12d,Вечерина Ольга Павловна,full_name_en,Vecherina Olga Pavlovna,curated_biographical_data,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=3663&option=com_content&task=view,confirmed,2026-05-30,Loaded into person table during DB build.
person,PERS_e31ca12d,Вечерина Ольга Павловна,birth_year,1960,curated_biographical_data,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=3663&option=com_content&task=view,manual,2026-05-30,Loaded into person table during DB build.
person,PERS_e31ca12d,Вечерина Ольга Павловна,death_year,2023,curated_biographical_data,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=3663&option=com_content&task=view,manual,2026-05-30,Loaded into person table during DB build.
person,PERS_f5b8b340,Вигасин Алексей Алексеевич,full_name_ru,Вигасин Алексей Алексеевич,curated_biographical_data,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=1251&option=com_content&task=view,confirmed,2026-05-30,Loaded into person table during DB build.
person,PERS_f5b8b340,Вигасин Алексей Алексеевич,full_name_en,Vigasin Alexey Alexeevich,curated_biographical_data,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=1251&option=com_content&task=view,confirmed,2026-05-30,Loaded into person table during DB build.
person,PERS_f5b8b340,Вигасин Алексей Алексеевич,birth_year,1946,curated_biographical_data,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=1251&option=com_content&task=view,manual,2026-05-30,Loaded into person table during DB build.
person,PERS_a8983673,Вигель Нарине Липаритовна,full_name_ru,Вигель Нарине Липаритовна,curated_biographical_data,https://ancient.ivran.ru/novosti?year=2024,confirmed,2026-05-30,Loaded into person table during DB build.
person,PERS_a8983673,Вигель Нарине Липаритовна,full_name_en,Narine Vigel,curated_biographical_data,https://ancient.ivran.ru/novosti?year=2024,confirmed,2026-05-30,Loaded into person table during DB build.
