node_id,node_type,label,local_id,weight
person:PERS_23abae7d,person,Пушкарева Юлия Георгиевна,PERS_23abae7d,1
person:PERS_58b39545,person,Ренковская Евгения Алексеевна,PERS_58b39545,5
person:PERS_287fe378,person,Рыбакова Анна Геннадьевна,PERS_287fe378,6
person:PERS_d98da899,person,Рыжакова Светлана Игоревна,PERS_d98da899,19
person:PERS_2c9b38ec,person,С. В. Ватман,PERS_2c9b38ec,1
person:PERS_4ebb20aa,person,С. В. Кардинская,PERS_4ebb20aa,1
person:PERS_2fd442aa,person,С. Ч. Офертас,PERS_2fd442aa,9
person:PERS_9ddf9210,person,С.П. Нестеркин,PERS_9ddf9210,1
person:PERS_e1d622e5,person,С.Ф. Мажитов,PERS_e1d622e5,1
person:PERS_db046be0,person,Сабирова Римма Наилевна,PERS_db046be0,7
person:PERS_01aafd44,person,Сафина Наталья Алексеевна,PERS_01aafd44,3
person:PERS_f82b6a8e,person,Сенина Наталья Викторовна,PERS_f82b6a8e,1
person:PERS_a0f3d86d,person,Сергеева Варвара Алексеевна,PERS_a0f3d86d,1
person:PERS_1130c736,person,Серебряный Сергей Дмитриевич,PERS_1130c736,1
person:PERS_3357f25b,person,Скороходова Татьяна Григорьевна,PERS_3357f25b,9
person:PERS_50d73711,person,Смирнитская Анна Александровна,PERS_50d73711,7
person:PERS_3d3b302d,person,Соболева Диана Владимировна,PERS_3d3b302d,3
person:PERS_6441d568,person,Соболева Елена Станиславовна,PERS_6441d568,3
person:PERS_58e18506,person,Соколова Ирина Александровна,PERS_58e18506,1
person:PERS_5e2a5a5c,person,Столярова Екатерина Владимировна,PERS_5e2a5a5c,4
person:PERS_7f908d49,person,Стрельцова Лилия Александровна,PERS_7f908d49,4
person:PERS_28317057,person,Т. А. Дубянская,PERS_28317057,3
person:PERS_5bbfea37,person,Т. Т. Скороходова,PERS_5bbfea37,1
person:PERS_d4c2cc5e,person,Т.В. Лучина,PERS_d4c2cc5e,2
person:PERS_ed83f502,person,Т.П. Селиванова,PERS_ed83f502,1
person:PERS_11da326d,person,Тавастшерна Сергей Сергеевич,PERS_11da326d,20
person:PERS_3074a8e5,person,Терентьев Андрей Анатольевич,PERS_3074a8e5,2
person:PERS_0e0a154e,person,Титлин Лев Игоревич,PERS_0e0a154e,7
person:PERS_0a2e5f24,person,Тишин Владимир Владимирович,PERS_0a2e5f24,2
person:PERS_310b2911,person,Толчельников Иван Евгеньевич,PERS_310b2911,2
person:PERS_6578b52d,person,Тюлина Елена Владимировна,PERS_6578b52d,12
person:PERS_bf91d4b8,person,Уймина Юлия Александровна,PERS_bf91d4b8,2
person:PERS_cfb92c5f,person,Уланский Евгений Андреевич,PERS_cfb92c5f,7
person:PERS_168a3a8b,person,Усенко Иван Сергеевич,PERS_168a3a8b,1
person:PERS_936e1165,person,Файбушевич Светлана Ивановна,PERS_936e1165,1
person:PERS_a638a4b3,person,Федорова Наталья Леонидовна,PERS_a638a4b3,1
person:PERS_6ae5c779,person,Фивейская Анастасия Васильевна,PERS_6ae5c779,2
person:PERS_c52dfaa0,person,Цветкова Софья Олеговна,PERS_c52dfaa0,22
person:PERS_91b473b1,person,Челнокова Анна Витальевна,PERS_91b473b1,5
person:PERS_874cbfb7,person,Шарапова Александра Владимировна,PERS_874cbfb7,1
person:PERS_a84aedaa,person,Шомахмадов Сафарали Хайбуллоевич,PERS_a84aedaa,6
person:PERS_0665f215,person,Шохин Владимир Кириллович,PERS_0665f215,5
person:PERS_e9545a0b,person,Шустова Алла Михайловна,PERS_e9545a0b,12
person:PERS_23f54085,person,Э. И. Введенская,PERS_23f54085,1
person:PERS_68270eaf,person,Э.В. Галимова,PERS_68270eaf,1
person:PERS_fc976255,person,Э.Н. Комаров,PERS_fc976255,1
person:PERS_ba81468a,person,Ю. Г. Кокова,PERS_ba81468a,3
person:PERS_06ee047f,person,Ю. И. Елихина,PERS_06ee047f,4
person:PERS_61202bf3,person,Ю. М. Алиханова,PERS_61202bf3,11
person:PERS_088c4df7,person,Ю.Г. Атманова,PERS_088c4df7,4
person:PERS_d3cb634e,person,Ю.С. Атманова,PERS_d3cb634e,1
person:PERS_dfaf6803,person,Я.А. Борисов,PERS_dfaf6803,1
person:PERS_b881461b,person,Яковлева Мария Николаевна,PERS_b881461b,3
theme:AcademicHistory,theme,AcademicHistory,AcademicHistory,55
theme:Art,theme,Art,Art,90
theme:History,theme,History,History,350
theme:Linguistics,theme,Linguistics,Linguistics,142
theme:Philosophy,theme,Philosophy,Philosophy,262
