meso_codes,presentation_id,public_path,renou_evidence,renou_match_count,renou_match_status,renou_register_labels,renou_registers,renou_state_labels,renou_states,scholar_ids,scholar_urls,scholars,series,source_url,tags,theme_code,theme_en,title,year
translation_reception,PRES_ec1abc9fd1,p/puti-pesennykh-tekstov-perevody-i-primery-metafonii.html,state:IV; register:kavya,2,matched,Kāvya,kavya,Classical,IV,PERS_0ca995ac,s/yakovlev-viktor.html,Yakovlev Viktor Mikhailovich,Roerich Readings,https://ancient.ivran.ru/novosti?year=2015,метафония; перевод; песенный; путь; текст,literature_and_poetry,Literature & Poetry,Пути песенных текстов – переводы и примеры метафонии,2015
dravidology_south_india,PRES_0bb0a01234,p/osobennosti-khudozhestvennoi-struktury-tamilskoi-antologii-kalittokhei-na-primere-pesni-92.html,state:IV; register:kavya,2,matched,Kāvya,kavya,Classical,IV,PERS_1fa7cc0c,s/alexander-dubyansky.html,Dubyansky Alexander Mikhailovich,Roerich Readings,https://ancient.ivran.ru/novosti?year=2016,антология; калиттохей; песня; тамильский; художественный,literature_and_poetry,Literature & Poetry,Особенности художественной структуры тамильской антологии «Калиттохей» (на примере песни 92),2016
,PRES_11bae7431c,p/obraz-rasputnitsy-v-prakritskoi-lirike.html,state:IV; state:V; register:kavya,3,matched,Kāvya,kavya,Buddhist / Jaina; Classical,IV; V,PERS_23215083,s/rusanov-maksim.html,Rusanov Maxim Albertovich,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=4789&option=com_content&task=view,лирика; образ; пракритский; распутница,literature_and_poetry,Literature & Poetry,Образ «распутницы» в пракритской лирике,2016
buddhist_studies,PRES_367c4f966a,p/o-roli-i-funktsii-dialogicheskikh-poem-buddiiskogo-kanona.html,state:V; register:kavya; register:bauddha,3,matched,Bauddha; Kāvya,bauddha; kavya,Buddhist / Jaina,V,PERS_14dec06b,s/kudryavtseva-dec06b.html,E. B. Kudrâvceva,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=4789&option=com_content&task=view,буддизм; диалогический; канон; поэма; функция,religion_and_philosophy,Religion & Philosophy,О роли и функции диалогических поэм буддийского канона,2016
bhakti_vaishnava,PRES_3da4b2c217,p/bkhadzhany-propovedi-miry-bai-k-voprosu-o-stilistike-zhanra.html,state:IV; register:bhasya; register:kavya,3,matched,Bhāṣya; Kāvya,bhasya; kavya,Classical,IV,PERS_c52dfaa0,s/sofia-tsvetkova.html,Tsvetkova Svetlana Olegovna,Roerich Readings,https://ancient.ivran.ru/novosti?year=2016,бхаджан-проповедь; жанр; мира_баи; стилистика,literature_and_poetry,Literature & Poetry,Бхаджаны-проповеди Миры Баи: к вопросу о стилистике жанра,2016
translation_reception,PRES_417cd90017,p/i-snova-o-perevodakh-r-tagora.html,state:IV; register:kavya,2,matched,Kāvya,kavya,Classical,IV,PERS_dd7de77e,s/brosalina-elena.html,Brosalina Elena Kirillovna,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=4789&option=com_content&task=view,перевод; снова; тагор,literature_and_poetry,Literature & Poetry,И снова о переводах Р. Тагора,2016
modern_society_politics,PRES_609d5b9f72,p/reprezentatsiya-obraza-adivasi-v-populyarnom-indiiskom-kinematografe.html,state:IV; register:kavya,2,matched,Kāvya,kavya,Classical,IV,PERS_0fd718a7,s/vozdigan-kseniya.html,Ksenia Vozdigan,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=4789&option=com_content&task=view,адивась; индия; кинематограф; образ; популярный; репрезентация,literature_and_poetry,Literature & Poetry,Репрезентация образа адиваси в популярном индийском кинематографе,2016
epic_ramayana_mahabharata,PRES_661914709f,p/progulki-po-gorodu-s-khanumanom-odin-epizod-iz-ramayany-i-ego-paralleli-v-artkhashastre-kautili.html,state:III; state:IV; state:V; register:epic; register:kavya,5,matched,Epic; Kāvya,epic; kavya,Buddhist / Jaina; Classical; Epic & prolongements,III; IV; V,PERS_9374fd12,s/vyrshchikov-evgenii.html,Vyrshchikov Evgeny Gennadievich,Roerich Readings,https://ancient.ivran.ru/novosti?year=2016,артхашастр; город; канон; каутилья; пали; параллель; прогулка; рамаяна; хануман; эпизод,literature_and_poetry,Literature & Poetry,Прогулки по городу с Хануманом (один эпизод из «Рамаяны» и его параллели в Артхашастре Каутильи и в палийском каноне),2016
bhakti_vaishnava,PRES_788a7544aa,p/bkhramara-gita-surdasa-k-kharakteristike-stilya.html,state:III; state:IV; register:bhasya; register:kavya,4,matched,Bhāṣya; Kāvya,bhasya; kavya,Classical; Epic & prolongements,III; IV,PERS_c52dfaa0,s/sofia-tsvetkova.html,Tsvetkova Svetlana Olegovna,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=4789&option=com_content&task=view,бхрамар-гит; стиль; сурдас; характеристика,literature_and_poetry,Literature & Poetry,«Бхрамара-гита» Сурдаса: к характеристике стиля,2016
,PRES_90144b87a9,p/o-proiskhozhdenii-nekotorykh-ashramnykh-praktik-v-proizvedeniyakh-kalidasy.html,state:IV; register:bhasya; register:kavya,3,matched,Bhāṣya; Kāvya,bhasya; kavya,Classical,IV,PERS_61202bf3,s/yulia-alikhanova.html,Alikhanova Yulia Markovna,Roerich Readings,https://ancient.ivran.ru/novosti?year=2016,ашрамный; калидас; практика; произведение; происхождение,religion_and_philosophy,Religion & Philosophy,О происхождении некоторых ашрамных практик в произведениях Калидасы,2016
