person_id,display_name,layer,degree,betweenness,zograf_talks,roerich_talks,total_talks,series_attended,is_series_bridge
PERS_900efc73,Зевацкий Тимофей Юрьевич,event,56,0.0,1,0,1,zograf_only,no
PERS_f5a69b65,Кройцер Светлана Александровна,event,56,0.0,1,0,1,zograf_only,no
PERS_f82b6a8e,Сенина Наталья Викторовна,event,56,0.0,1,0,1,zograf_only,no
PERS_23f54085,Введенская Эльвира Игоревна,event,53,0.0,1,0,1,zograf_only,no
PERS_cac87738,Гузеватая Наталья Владимировна,event,53,0.0,1,0,1,zograf_only,no
PERS_cea040bb,М. Рамдхари,event,53,0.0,1,0,1,zograf_only,no
PERS_37c15317,Калина А. Э.,event,52,0.0,1,0,1,zograf_only,no
PERS_3f406fe3,Кравцова Е. Р.,event,52,0.0,1,0,1,zograf_only,no
PERS_79ed852e,Евграфов Д. А.,event,52,0.0,1,0,1,zograf_only,no
PERS_bbd15f4f,Степин А. А.,event,52,0.0,1,0,1,zograf_only,no
PERS_d17a6a92,Киняева А. В.,event,52,0.0,1,0,1,zograf_only,no
PERS_467d4dbb,Клебанов Андрей Александрович,event,49,0.0,1,0,1,zograf_only,no
PERS_874cbfb7,Шарапова Александра Владимировна,event,49,0.0,1,0,1,zograf_only,no
PERS_00c3b0cc,Щербак Мария Борисовна,event,49,0.0,1,0,1,zograf_only,no
PERS_e30ad8b7,Гавриков Денис Сергеевич,event,49,0.0,1,0,1,zograf_only,no
PERS_045c435e,К. Джункова,event,46,0.0,1,0,1,zograf_only,no
PERS_04a4bbbb,Е. И. Малоземова,event,46,0.0,1,0,1,zograf_only,no
PERS_1130c736,Серебряный Сергей Дмитриевич,event,45,0.0,1,0,1,zograf_only,no
PERS_29607432,Лапшин Иван Евгеньевич,event,45,0.0,1,0,1,zograf_only,no
