keyword,presentations,zograf,roerich,examples
индия,127,80,47,Индийское паломничество в сравнительном аспекте | По следам Петербуржца в Индии: путешествие князя Салтыкова | Заметки о роли индийской диаспоры в пропаганде языка и литературы хинди | Сон Урмилы в современной индийской прозе
погода,1,0,1,Магическое воздействие на погоду в культуре кочевников Центральной Азии
дигамбарский,1,0,1,Представления об уме в джайнской дигамбарской традиции (к прояснению терминов)
прояснение,1,0,1,Представления об уме в джайнской дигамбарской традиции (к прояснению терминов)
раннекитайский,1,0,1,Буддийские сутры в переводах раннекитайской традиции
вритр,1,1,0,Версия мифа о Вритре в «Девибхагаватапуране»
девибхагаватапуран,1,1,0,Версия мифа о Вритре в «Девибхагаватапуране»
разлука,1,1,0,Еще раз о теме разлуки в тамильской поэзии
ваджрапань,1,1,0,Текст по культу Ваджрапани и восьми царей нагов в свитке XIII века Дх-178 из собрания ИВР РАН
наг,1,1,0,Текст по культу Ваджрапани и восьми царей нагов в свитке XIII века Дх-178 из собрания ИВР РАН
ананга,1,1,0,Дискуссия о значении термина анангу в тамильской литературе
движение,1,1,0,Практики движения праны в текстах кашмирских авторов
прана,1,1,0,Практики движения праны в текстах кашмирских авторов
апастамб-дхармасутра,1,1,0,Особенности композиции «Апастамба-дхармасутры»
потоцкий,1,1,0,"Ян Потоцкий и тибетская рукопись, найденная в Калмыкии"
калмыкия,1,1,0,"Ян Потоцкий и тибетская рукопись, найденная в Калмыкии"
бхукть,1,1,0,Формула «бхукти — мукти» и сотериологический антиномизм индуистской тантры
мукть,1,1,0,Формула «бхукти — мукти» и сотериологический антиномизм индуистской тантры
антиномизм,1,1,0,Формула «бхукти — мукти» и сотериологический антиномизм индуистской тантры
анатмавад,1,1,0,Эволюция буддистского учения о не-«я»: две концепции анатмавады
ренессанс,1,1,0,Образ индуизма в религиозно-философской мысли Бенгальского Ренессанса
матрик,1,1,0,Матрики вне буддийских текстов
вне,1,1,0,Матрики вне буддийских текстов
шахрашуба,1,1,0,Эволюция жанра шахрашуб в контексте взаимодействия персоязычной литературы и литературы урду
индиец,1,1,0,Индия и индийцы в автобиографической книге В. С. Найпола «The Writer's People»
осесть,1,1,0,Осел/бык в индоиранской картине мира
свиток,1,1,0,Неварский «повествовательный свиток» в собрании МАЭ РАН (коллекция И. П. Минаева). Предварительное сообщение
расположение,1,1,0,Заметки о структуре расположения скульптурных изображений в храмовых комплексах согласно «Агни-пуране»
скульптурный,1,1,0,Заметки о структуре расположения скульптурных изображений в храмовых комплексах согласно «Агни-пуране»
агни-пурана,1,1,0,Заметки о структуре расположения скульптурных изображений в храмовых комплексах согласно «Агни-пуране»
чудесный,1,1,0,Чудесный сосуд Манимехалей: попытка интерпретации
манимехаль,1,1,0,Чудесный сосуд Манимехалей: попытка интерпретации
изменить,1,1,0,«Юный» как представитель измененного состояния сознания
состояние,1,1,0,«Юный» как представитель измененного состояния сознания
взаимовлияние,1,1,0,"О взаимовлиянии индуизма и буддизма в религии непальцев (легенды, иконография, личные наблюдения)"
личный,1,1,0,"О взаимовлиянии индуизма и буддизма в религии непальцев (легенды, иконография, личные наблюдения)"
обрядность,1,1,0,Особенности календарной обрядности у раджпутов C
раджпутов,1,1,0,Особенности календарной обрядности у раджпутов C
питхоро,1,1,0,Живая традиция ритуальных росписей Питхоро в Гуджарате: полевые данные 2012 г
креативный,1,1,0,"«Бенгальский стиль» в индийском танце: традиционное, креативное, политическое измерения В программе возможны изменения и дополнения Приглашаются все желающие"
политический,1,1,0,"«Бенгальский стиль» в индийском танце: традиционное, креативное, политическое измерения В программе возможны изменения и дополнения Приглашаются все желающие"
приглашаться,1,1,0,"«Бенгальский стиль» в индийском танце: традиционное, креативное, политическое измерения В программе возможны изменения и дополнения Приглашаются все желающие"
все,1,1,0,"«Бенгальский стиль» в индийском танце: традиционное, креативное, политическое измерения В программе возможны изменения и дополнения Приглашаются все желающие"
желать,1,1,0,"«Бенгальский стиль» в индийском танце: традиционное, креативное, политическое измерения В программе возможны изменения и дополнения Приглашаются все желающие"
иша-упанишад,1,0,1,Бог и человек в поэзии Тагора. От «Иша-упанишады» до «Писем о России»
летописный,1,0,1,Летописный текст и феномен «изображение» в буддийской традиции Тибета
танцовщица,1,0,1,Танцовщица и покровитель: начни и расик восточных областей Индии. Контексты взаимоотношений
покровитель,1,0,1,Танцовщица и покровитель: начни и расик восточных областей Индии. Контексты взаимоотношений
начать,1,0,1,Танцовщица и покровитель: начни и расик восточных областей Индии. Контексты взаимоотношений
расик,1,0,1,Танцовщица и покровитель: начни и расик восточных областей Индии. Контексты взаимоотношений
актуализация,1,0,1,Актуализация информативной основы средневекового текста Центральной Азии в современном мире (на примере «Тарих-и Рашиди» Мирзы Хайдара Дуглата»)
информативный,1,0,1,Актуализация информативной основы средневекового текста Центральной Азии в современном мире (на примере «Тарих-и Рашиди» Мирзы Хайдара Дуглата»)
тарих-и,1,0,1,Актуализация информативной основы средневекового текста Центральной Азии в современном мире (на примере «Тарих-и Рашиди» Мирзы Хайдара Дуглата»)
рашидти,1,0,1,Актуализация информативной основы средневекового текста Центральной Азии в современном мире (на примере «Тарих-и Рашиди» Мирзы Хайдара Дуглата»)
мирза,1,0,1,Актуализация информативной основы средневекового текста Центральной Азии в современном мире (на примере «Тарих-и Рашиди» Мирзы Хайдара Дуглата»)
хайдар,1,0,1,Актуализация информативной основы средневекового текста Центральной Азии в современном мире (на примере «Тарих-и Рашиди» Мирзы Хайдара Дуглата»)
дуглата,1,0,1,Актуализация информативной основы средневекового текста Центральной Азии в современном мире (на примере «Тарих-и Рашиди» Мирзы Хайдара Дуглата»)
техника,1,0,1,Песенная техника проповеди Миры Баи: подступы к исследованию
подступ,1,0,1,Песенная техника проповеди Миры Баи: подступы к исследованию
единство,1,0,1,Ю. Рерих о роли буддизма в культурном единстве Азии
выдающийся,1,0,1,Ю.Н. Рерих — выдающийся лингвист-тибетолог
лингвист-тибетолог,1,0,1,Ю.Н. Рерих — выдающийся лингвист-тибетолог
смех,1,0,1,Смех в традиции древнеиндийского театра (по материалам Натьяшастры)
снатака,1,0,1,Снатака в древнеиндийском ритуале и тексте
дом-музей,1,0,1,Дом-музей семьи Рерихов в Улан-Баторе
улан-батор,1,0,1,Дом-музей семьи Рерихов в Улан-Баторе
осознанность,1,0,1,О значении пал. sutta (p.p. от supati «спать») в медитации осознанности (сатипаттхана)
сатипаттхан,1,0,1,О значении пал. sutta (p.p. от supati «спать») в медитации осознанности (сатипаттхана)
возрастной,1,0,1,К проблеме возрастных категорий у древних тюрков VI—X вв
преемственность,1,0,1,Теория преемственности Дхармы в доктрине «сангоку маппо» в японском буддизме
сангока,1,0,1,Теория преемственности Дхармы в доктрине «сангоку маппо» в японском буддизме
маппо,1,0,1,Теория преемственности Дхармы в доктрине «сангоку маппо» в японском буддизме
дарственный,1,0,1,О формульности индийских дарственных надписей
геология,1,0,1,Сакральная «геология» в системе знаний вастувидьи (науки о строительстве и зодчестве) в пуранах
природопользование,1,0,1,Природопользование в тангутском государстве Си Ся
пекинский,1,0,1,Намтар Будды Шакьямуни в тибетской и китайской (пекинской) традициях (танки из коллекций Одесского и Киевского музеев Украины)
киевский,1,0,1,Намтар Будды Шакьямуни в тибетской и китайской (пекинской) традициях (танки из коллекций Одесского и Киевского музеев Украины)
махаянский,1,0,1,Элементы игровой поэтики в махаянском описании ступеней бодхисаттвы в текстах «Большой Праджняпарамиты»
ступень,1,0,1,Элементы игровой поэтики в махаянском описании ступеней бодхисаттвы в текстах «Большой Праджняпарамиты»
складывание,1,0,1,К проблеме складывания сикхского двора и придворной культуры при последних шести гуру
придворный,1,0,1,К проблеме складывания сикхского двора и придворной культуры при последних шести гуру
шесть,1,0,1,К проблеме складывания сикхского двора и придворной культуры при последних шести гуру
ядро,1,0,1,У истоков Праджняпарамиты (стихотворное ядро традиции)
синтаксис,1,0,1,Традиционный индийский комментарий как источник по изучению синтаксиса древнеиндийских языков
каламбах,1,0,1,О тамильском поэтическом жанре каламбахам
приключение,1,0,1,Рамаяна в драме Бхавабхути «Последние приключения Рамы»
арьяварт,1,0,1,Представления об Арьяварте в санскритских источниках в исторической перспективе
перспектива,1,0,1,Представления об Арьяварте в санскритских источниках в исторической перспективе
летний,1,0,1,12-летний животный цикл. К вопросу об истоках
весна,1,1,0,Тема весны в старой тамильской поэзии
шакунтала,1,1,0,О композиции вступительных глав «Сказания о Шакунтале»
йафиит,1,1,0,Индия в поэзии йафиитов (Южная Аравия)
аравия,1,1,0,Индия в поэзии йафиитов (Южная Аравия)
существовать,1,1,0,Существует ли психофизическая проблема (mind-body problem) в буддизме?
психофизический,1,1,0,Существует ли психофизическая проблема (mind-body problem) в буддизме?
ригведапратишакхья,1,1,0,Категории описания священной речи в «Ригведапратишакхье»
мангала-шлокаха,1,1,0,Интерпретация символов ‘ом’ и ‘сиддхам’ в мангала-шлоках санскритских рукописей
абхисамай-аланкара,1,1,0,Об изучении четвертой главы «Абхисамая-аланкары»
гухьясамадж,1,1,0,Строфы о бодхичитте во второй главе Гухьясамаджа тантры
драупасть,1,1,0,Драупади в Зале собрания (роль бога Дхармы)
юнгианство,1,1,0,Буддизм и юнгианство
абхишека-патале,1,1,0,Samarasa и svasamvedya в абхишека-патале Хеваджра-тантры согласно Муктавалихеваджрапаньджике Ратнакарашанти
хеваджр-тантра,1,1,0,Samarasa и svasamvedya в абхишека-патале Хеваджра-тантры согласно Муктавалихеваджрапаньджике Ратнакарашанти
муктавалихеваджрапаньджик,1,1,0,Samarasa и svasamvedya в абхишека-патале Хеваджра-тантры согласно Муктавалихеваджрапаньджике Ратнакарашанти
ратнакарашанти,1,1,0,Samarasa и svasamvedya в абхишека-патале Хеваджра-тантры согласно Муктавалихеваджрапаньджике Ратнакарашанти
энергийный,1,1,0,Энергийный прагматизм в тамильской культуре
прагматизм,1,1,0,Энергийный прагматизм в тамильской культуре
энергия,1,1,0,Проблема энергии в тантре
словесный,1,1,0,Словесные фигуры и принцип «непрямого высказывания» (вакрокти) в средневековой поэтике
непрямой,1,1,0,Словесные фигуры и принцип «непрямого высказывания» (вакрокти) в средневековой поэтике
вакрокть,1,1,0,Словесные фигуры и принцип «непрямого высказывания» (вакрокти) в средневековой поэтике
пригород,1,1,0,«Будда из пригорода» Ханифа Курейши: иммигрантский текст индо-британской литературы
ханиф,1,1,0,«Будда из пригорода» Ханифа Курейши: иммигрантский текст индо-британской литературы
курейша,1,1,0,«Будда из пригорода» Ханифа Курейши: иммигрантский текст индо-британской литературы
иммигрантский,1,1,0,«Будда из пригорода» Ханифа Курейши: иммигрантский текст индо-британской литературы
индо-британский,1,1,0,«Будда из пригорода» Ханифа Курейши: иммигрантский текст индо-британской литературы
ярость,1,1,0,«Ярость» Рушди
евразийский,1,1,0,Мифологии северных мунда как источник для реконструкции сюжета создания человека у населения евразийских степей в эпоху бронзы C
бронза,1,1,0,Мифологии северных мунда как источник для реконструкции сюжета создания человека у населения евразийских степей в эпоху бронзы C
половозрастной,1,1,0,Половозрастная стратификация общества в ведийских текстах
окружение,1,1,0,"«Юные» в окружении царя Раджасинхи II—го (XVII век, Шри Ланка)"
раджасинх,1,1,0,"«Юные» в окружении царя Раджасинхи II—го (XVII век, Шри Ланка)"
миссионер,1,1,0,О первых христианских миссионерах в Индии
следовать,1,1,0,Следуя воле звезд: Индийская астрология и практика предсказаний стихийных бедствий
воля,1,1,0,Следуя воле звезд: Индийская астрология и практика предсказаний стихийных бедствий
звезда,1,1,0,Следуя воле звезд: Индийская астрология и практика предсказаний стихийных бедствий
астрология,1,1,0,Следуя воле звезд: Индийская астрология и практика предсказаний стихийных бедствий
стихийный,1,1,0,Следуя воле звезд: Индийская астрология и практика предсказаний стихийных бедствий
бедствие,1,1,0,Следуя воле звезд: Индийская астрология и практика предсказаний стихийных бедствий
лаборатория,1,1,0,Саттрия: рождение нового индийского классического танца в Ассаме Лаборатория «Театрика» (Москва – С.-Петербург). Видеоматериал по традиции чхоу
театрик,1,1,0,Саттрия: рождение нового индийского классического танца в Ассаме Лаборатория «Театрика» (Москва – С.-Петербург). Видеоматериал по традиции чхоу
чхоу,1,1,0,Саттрия: рождение нового индийского классического танца в Ассаме Лаборатория «Театрика» (Москва – С.-Петербург). Видеоматериал по традиции чхоу
надзиратель,1,1,0,Глава о надзирателе за архивом в «Артхашастре» Каутильи в контексте информации надписей времени Гуптов
информация,1,1,0,Глава о надзирателе за архивом в «Артхашастре» Каутильи в контексте информации надписей времени Гуптов
психика,1,1,0,"Ум, психика или сознание (о переводе буддийских терминов «читта» и «виджняна»)"
виджнян,1,1,0,"Ум, психика или сознание (о переводе буддийских терминов «читта» и «виджняна»)"
ветала,1,1,0,Миф о Ветале и Бхайраве в «Калика-пуране»
бхайрава,1,1,0,Миф о Ветале и Бхайраве в «Калика-пуране»
матсьяватар,1,1,0,Сюжет о воплощении Вишну в фольклорном тексте телугу (Матсьяватарам)
рагхуванша,1,1,0,«Рагхуванша» Калидасы глазами тамилиста
тамилистый,1,1,0,«Рагхуванша» Калидасы глазами тамилиста
вишну-нарасимха,1,1,0,Тексты по культу Вишну-Нарасимхи в тибетском свитке XIII века
обучение,1,1,0,О древнеиндийской практике обучения ведийскому тексту
типовой,1,1,0,Типовой мотив-ситуация в Махабхарате
мотив-ситуация,1,1,0,Типовой мотив-ситуация в Махабхарате
совершенный,1,1,0,Концепция совершенного человека в творчестве народных певцов – баулов
певец,1,1,0,Концепция совершенного человека в творчестве народных певцов – баулов
квантитативный,1,1,0,Санскритские квантитативные стихотворные размеры: реконструкция чтения
дхола-мара,1,1,0,Индийский эпос «Дхола-Мару» и «Сказка о царе Салтане» А.С.Пушкина
салтана,1,1,0,Индийский эпос «Дхола-Мару» и «Сказка о царе Салтане» А.С.Пушкина
рефлексия,1,1,0,Сравнительный анализ генезиса рефлексии в индийской и европейской философских традициях: визуальные и лингвистические детерминанты
детерминант,1,1,0,Сравнительный анализ генезиса рефлексии в индийской и европейской философских традициях: визуальные и лингвистические детерминанты
проблематика,1,1,0,Семантика глагольного корня muc- и проблематика духовного освобождения в ведийских упанишадах
потенциальный,1,1,0,Потенциальное и актуальное в буддийском учении о восприятии
душа,1,1,0,Проблема уникальности природы человеческой души в философской системе Ямуначарьи
ямуначарья,1,1,0,Проблема уникальности природы человеческой души в философской системе Ямуначарьи
пангху,1,1,0,Значение и функции ритуала Пангху у племени ратхва
ратхв,1,1,0,Значение и функции ритуала Пангху у племени ратхва
кридаяник,1,1,0,Концепция игры в индийской традиции (кридаяника в «Натьяшастре»)
васильков,1,1,0,Язык богини Кали. Я.В. Васильков. Эпические герои и боги (в «Махабхарате» и не только)
только,1,1,0,Язык богини Кали. Я.В. Васильков. Эпические герои и боги (в «Махабхарате» и не только)
авест,1,0,1,Скифские слова в Авесте
сцена,1,0,1,Сцены приема гостя в древней махакавье
когнитивный,1,0,1,Восприятие и телесность в буддизме и в современных когнитивных концепциях «отелесненного ума» (embodied mind)
отелесненный,1,0,1,Восприятие и телесность в буддизме и в современных когнитивных концепциях «отелесненного ума» (embodied mind)
южнобуддийский,1,0,1,К пониманию термина buddha в южнобуддийской традиции
обозначение,1,0,1,"Обозначение пространства, мер и чисел в трактатах по строительству из пуран"
мера,1,0,1,"Обозначение пространства, мер и чисел в трактатах по строительству из пуран"
дасья,1,0,1,Чему учили люди дасью? (по материалам ранних ведийских текстов)
генеалогия,1,0,1,Место и значение хронологии и генеалогии в санскритских текстах
наложница,1,0,1,Царские наложницы в санскритских и античных источниках
веротерпимость,1,0,1,Традиции веротерпимости и универсализма в древней и средневековой Индии
универсализм,1,0,1,Традиции веротерпимости и универсализма в древней и средневековой Индии
казаклык,1,0,1,«Казаклык как социальное явление»
великобритания,1,0,1,(Великобритания). Сюжеты религиозного обращения в палийской и средневековой ирландской литературе. Нарративная традиция
гора,1,0,1,К вопросу о символике горы Мэру
мэр,1,0,1,К вопросу о символике горы Мэру
обет,1,0,1,Обет и культ jakkha-ja в Каче
кача,1,0,1,Обет и культ jakkha-ja в Каче
оппозиция,1,0,1,Отражение оппозиции «свой – чужой» в традиционных представлениях о землепользовании кочевников Центральной Азии
свой,1,0,1,Отражение оппозиции «свой – чужой» в традиционных представлениях о землепользовании кочевников Центральной Азии
чужой,1,0,1,Отражение оппозиции «свой – чужой» в традиционных представлениях о землепользовании кочевников Центральной Азии
землепользование,1,0,1,Отражение оппозиции «свой – чужой» в традиционных представлениях о землепользовании кочевников Центральной Азии
монография,1,0,1,Ю.Н. Рерих: монография «Тибетская живопись»
киев,1,0,1,(Киев). Композиционные особенности намтара «12 деяний Будды Шакьямуни» в тибетской традиции (тангки житийной серии музеев Украины)
дард,1,0,1,Дарды и страна дардов в «Раджатарангини» Калханы
страна,1,0,1,Дарды и страна дардов в «Раджатарангини» Калханы
раджатарангиня,1,0,1,Дарды и страна дардов в «Раджатарангини» Калханы
калхан,1,0,1,Дарды и страна дардов в «Раджатарангини» Калханы
говорить,1,0,1,Кто говорит? Толкование источника речи в некоторых индуистских тантрах
уход,1,0,1,Ситуация ухода героя в классической тамильской поэзии
дакиня,1,0,1,Образ дакини в Японии
ошибочный,1,0,1,Проблема сновидения и «ошибочные действия» в натаке Бхасы «Свапнавасавадатта»
натака,1,0,1,Проблема сновидения и «ошибочные действия» в натаке Бхасы «Свапнавасавадатта»
бхас,1,0,1,Проблема сновидения и «ошибочные действия» в натаке Бхасы «Свапнавасавадатта»
свапнавасавадатт,1,0,1,Проблема сновидения и «ошибочные действия» в натаке Бхасы «Свапнавасавадатта»
конфессиональный,1,0,1,Непал: от конфессионального компромисса до секуляризма (Некоторые штрихи истории духовной культуры)
компромисс,1,0,1,Непал: от конфессионального компромисса до секуляризма (Некоторые штрихи истории духовной культуры)
секуляризм,1,0,1,Непал: от конфессионального компромисса до секуляризма (Некоторые штрихи истории духовной культуры)
шикша,1,0,1,Философское приложение шикши в кашмирском шиваизме
гипотеза,1,1,0,Происхождение атомизма: лингвистическая гипотеза
индейский,1,1,0,Сказание об Индейском царстве» как источник представлений об Индии в древней Руси
русь,1,1,0,Сказание об Индейском царстве» как источник представлений об Индии в древней Руси
шакунталый,1,1,0,Еще раз о сюжете эпической «Шакунталы»
запад,1,1,0,"Восток, Запад и русский перевод"
широкий,1,1,0,Ведийское samudra-: к вопросу о широких водных пространствах в текстах самхит
водный,1,1,0,Ведийское samudra-: к вопросу о широких водных пространствах в текстах самхит
самхит,1,1,0,Ведийское samudra-: к вопросу о широких водных пространствах в текстах самхит
побоище,1,1,0,"Книга о побоище палицами (Махабхарата, XVI)"
палица,1,1,0,"Книга о побоище палицами (Махабхарата, XVI)"
махакал,1,1,0,Древний тибетский сборник текстов по культам Махакалы и Вишну из рукописной коллекции ИВР РАН
коровий,1,1,0,«Коровьи войны» (на материале скотоводческого эпоса народов Центральной Индии и Декана)
декан,1,1,0,«Коровьи войны» (на материале скотоводческого эпоса народов Центральной Индии и Декана)
мост,1,1,0,Сат-чит-ананда как мост между христианством и индуизмом
вишнудхармоттара-пурана,1,1,0,К вопросу о классификации храмовых сооружений в Вишнудхармоттара-пуране
музыкант,1,1,0,"Сказители, музыканты и танцоры. К вопросу о происхождении и кастовой дхарме так называемых катхаков Раджастхана"
танцор,1,1,0,"Сказители, музыканты и танцоры. К вопросу о происхождении и кастовой дхарме так называемых катхаков Раджастхана"
так,1,1,0,"Сказители, музыканты и танцоры. К вопросу о происхождении и кастовой дхарме так называемых катхаков Раджастхана"
катхак,1,1,0,"Сказители, музыканты и танцоры. К вопросу о происхождении и кастовой дхарме так называемых катхаков Раджастхана"
освятить,1,1,0,Ордалия освященной водой (kosha)
хранить,1,1,0,Индоевропейская формула «храни мужей и скот» в ведийских и постведийских текстах
скот,1,1,0,Индоевропейская формула «храни мужей и скот» в ведийских и постведийских текстах
постведийский,1,1,0,Индоевропейская формула «храни мужей и скот» в ведийских и постведийских текстах
гонур-тепа,1,1,0,Новые открытия на Гонур-тепе. Предварительное сообщение
религиозно-мистический,1,1,0,Символические модели Абсолютного Сознания в религиозно-мистической философии Кашмирского шиваизма. Некоторые методологические вопросы
методологический,1,1,0,Символические модели Абсолютного Сознания в религиозно-мистической философии Кашмирского шиваизма. Некоторые методологические вопросы
ранневишнуитский,1,1,0,Ранневишнуитская Веданта
махишасурамардинить,1,1,0,Махишасурамардини и девы-воительницы
девы-воительница,1,1,0,Махишасурамардини и девы-воительницы
криттибас,1,1,0,«Рамаяна» Криттибаса Оджхи в культуре Бенгалии XV-XVI веков
оджха,1,1,0,«Рамаяна» Криттибаса Оджхи в культуре Бенгалии XV-XVI веков
этика,1,1,0,Проблема соотношения этики и знания в йоге и индуистской тантре
святыня,1,0,1,Буддийские святыни в «Записках» Сюань-Цзана: построение текста
сюань-цзана,1,0,1,Буддийские святыни в «Записках» Сюань-Цзана: построение текста
чистый,1,0,1,"Соотношение «чистая земля» – «нечистая земля», «чистый народ – «нечистый народ» по материалам «Манусмрити» и «Артхашастры» Каутильи"
земля,1,0,1,"Соотношение «чистая земля» – «нечистая земля», «чистый народ – «нечистый народ» по материалам «Манусмрити» и «Артхашастры» Каутильи"
нечистый,1,0,1,"Соотношение «чистая земля» – «нечистая земля», «чистый народ – «нечистый народ» по материалам «Манусмрити» и «Артхашастры» Каутильи"
манусмрити,1,0,1,"Соотношение «чистая земля» – «нечистая земля», «чистый народ – «нечистый народ» по материалам «Манусмрити» и «Артхашастры» Каутильи"
алтайский,1,0,1,"Миф, пространство, время у алтайских народов"
маллик,1,0,1,Тибетская джатака о Маллике как исток образа бхавачакры
бхавачакра,1,0,1,Тибетская джатака о Маллике как исток образа бхавачакры
бактрия,1,0,1,Письмо в культуре от Бактрии до Индии по материалам многоязычных надписей 3 в. до н. э. – 5 в. н. э. (К проблеме социоскрипторики)
многоязычный,1,0,1,Письмо в культуре от Бактрии до Индии по материалам многоязычных надписей 3 в. до н. э. – 5 в. н. э. (К проблеме социоскрипторики)
социоскрипторик,1,0,1,Письмо в культуре от Бактрии до Индии по материалам многоязычных надписей 3 в. до н. э. – 5 в. н. э. (К проблеме социоскрипторики)
фисамат,1,0,1,Фисаматы из Ольвийского декрета в честь Протогена
ольвийский,1,0,1,Фисаматы из Ольвийского декрета в честь Протогена
честь,1,0,1,Фисаматы из Ольвийского декрета в честь Протогена
протоген,1,0,1,Фисаматы из Ольвийского декрета в честь Протогена
испытание,1,0,1,Ордалия раскаленной монетой: шастрический текст и «свидетельства» испытаний
нирукт,1,0,1,Этимология (нирукта) в качестве герменевтической науки в кашмирском шиваизме
качество,1,0,1,Этимология (нирукта) в качестве герменевтической науки в кашмирском шиваизме
герменевтический,1,0,1,Этимология (нирукта) в качестве герменевтической науки в кашмирском шиваизме
творить,1,0,1,«Абхисамаяланкара»: от первых трех глав к четвертой. Сознание творит реальность
намаруп,1,0,1,К интерпретации термина намарупа в тхеравадинской комментаторской литературе
тхеравадинский,1,0,1,К интерпретации термина намарупа в тхеравадинской комментаторской литературе
комментаторский,1,0,1,К интерпретации термина намарупа в тхеравадинской комментаторской литературе
помазание,1,0,1,О ритуале помазания царя на царство в «Яджнявалкья-смрити»
яджнявалкие-смрити,1,0,1,О ритуале помазания царя на царство в «Яджнявалкья-смрити»
бхактамара-стотр,1,0,1,Место и значение «Бхактамара-стотры» в джайнской традиции
монахиня,1,0,1,"Сравнительный анализ описаний буддийских монахинь в тибетской, китайской и японской агиографической литературе"
агиографический,1,0,1,"Сравнительный анализ описаний буддийских монахинь в тибетской, китайской и японской агиографической литературе"
историко-культурный,1,0,1,Некоторые историко-культурные аспекты символики национального флага Непала (V – XXI вв.)
национальный,1,0,1,Некоторые историко-культурные аспекты символики национального флага Непала (V – XXI вв.)
флаг,1,0,1,Некоторые историко-культурные аспекты символики национального флага Непала (V – XXI вв.)
новозаветный,1,0,1,Об одной возможной буддийской параллели к новозаветному пассажу МФ
пассаж,1,0,1,Об одной возможной буддийской параллели к новозаветному пассажу МФ
атманепад,1,1,0,Атманепада в санскрите и в грамматиках
грамматик,1,1,0,Атманепада в санскрите и в грамматиках
атхарвавед-паришишт,1,1,0,Атхарваведа-паришишта XIXb: к вопросу о происхождении ритуалов Натьяшастры
сахар,1,1,0,«Сахар в молоке»: Ауто-представления об «индийском» и «персидском» в современной религиозной культуре парсов
