video_id,video_url,video_title,year,title_hint,speaker_hint,similarity,status,presentation_id_snapshot
HKPVeyX-ZnQ,https://www.youtube.com/watch?v=HKPVeyX-ZnQ,Гордийчук Николай Валентинович (Москва). Эстетика комического в поэме «Kaliṅkattupparaṇi»,2022,Смысл,Гордийчук Николай Валентинович,0.5,needs_review,PRES_83d38f95
HKPVeyX-ZnQ,https://www.youtube.com/watch?v=HKPVeyX-ZnQ,Гордийчук Николай Валентинович (Москва). Эстетика комического в поэме «Kaliṅkattupparaṇi»,2022,Смысл,Гордийчук Николай Валентинович,0.5,needs_review,PRES_83d38f95
3EGajKOPdqE,https://www.youtube.com/watch?v=3EGajKOPdqE,Дружинин В.Ю. О толковании первой строфы «Аштанга-хридаи»,2020,"О толковании первой строфы «Аштанга-хридаи» средневековыми комментаторами (на примере Арунадатты, Хемадри и Инду)",Дружинин Владимир Юрьевич,0.506,needs_review,PRES_bab017a6
g0S_SoCjdwI,https://www.youtube.com/watch?v=g0S_SoCjdwI,Леонов М.В. (Москва) Образ времени в поэзии Бхартрихари.,2013,Образ Кришны в поэзии Миры Баи,Цветкова Светлана Олеговна,0.512,needs_review,PRES_faf1f0d8
V9h922k2Rtw,https://www.youtube.com/watch?v=V9h922k2Rtw,Смирнитская Анна Александровна (Москва). Терминология родства в гондванских языках,2018,Семантика терминологии родства в малых дравидийских языках: когнитивные аспекты,Смирнитская Анна Александровна,0.535,needs_review,PRES_01d45bf2
UVG1oDgA6yU,https://www.youtube.com/watch?v=UVG1oDgA6yU,"Парибок А.В. (Москва) Развертка, свертка и смысл в индийской философии.",2019,О предмете индийской философии,Лысенко Виктория Георгиевна,0.542,needs_review,PRES_49ea3b23
BryP3pcV5Aw,https://www.youtube.com/watch?v=BryP3pcV5Aw,Демченко Максим Борисович Москва Према Рамаяна и Шри Ситарама чаритра дарпана как примеры Рамаян XX,2025,Према Рамаяна и Шри Ситарама-чаритра-дарпана как примеры Рамаян XX века в контексте современной литературы на бходжпури и майтхили,Демченко Максим Борисович,0.559,auto,PRES_61cb24f4
515mkJYnLlg,https://www.youtube.com/watch?v=515mkJYnLlg,Малютин И.И. (СПб) Четыре вида непосредственного восприятия в «Капле логики» Дхармакирти.,2007,В чем непосредственность непосредственного восприятия в буддийской эпистемологии?,Лысенко Виктория Георгиевна,0.564,auto,PRES_c25445c9
MxE72XyRlZU,https://www.youtube.com/watch?v=MxE72XyRlZU,Рыбакова Анна Геннадьевна (Москва). Ритуалы божественной старости в неварском буддизме.,2021,«Давай поженимся»: Свадебные ритуалы в неварском буддизме*,Рыбакова Анна Геннадьевна,0.569,auto,PRES_04b7c9f5
cFLTV3KZUYM,https://www.youtube.com/watch?v=cFLTV3KZUYM,Костина Екатерина Александровна (Санкт-Петербург). Дискурсивные слова в языке хинди,2020,Дискурсивные слова в языке хинди,Костина Екатерина Александровна,0.571,auto,PRES_259d1796
PsPoo3WPXyY,https://www.youtube.com/watch?v=PsPoo3WPXyY,Жукова Л. Е. (Мск) Телеологический аргумент в пользу существования Бога в учении Свами Вивекананды.,2025,Особенности толкования Нового Завета в учении Свами Вивекананды,Жукова Любовь Евгеньевна,0.573,auto,PRES_2354e09e
